"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,345.00","1,375.00","1,340.00","1,342.80","1,362.50","1,372.45","1,362.74","1,505.95","1,003.05","1,25,164","17,05,65,854.30","6,543"
"23-Aug-2024","EQ","1,344.70","1,350.00","1,331.10","1,341.40","1,341.00","1,342.80","1,338.81","1,505.95","1,003.05","52,806","7,06,97,296.10","5,507"
"22-Aug-2024","EQ","1,330.00","1,349.20","1,318.00","1,347.95","1,335.30","1,341.40","1,341.19","1,505.95","1,003.05","50,737","6,80,47,951.35","8,163"
"21-Aug-2024","EQ","1,355.60","1,362.70","1,327.70","1,363.05","1,345.00","1,347.95","1,340.67","1,505.95","1,003.05","60,571","8,12,05,745.85","7,614"
"20-Aug-2024","EQ","1,357.00","1,370.00","1,340.00","1,356.15","1,368.10","1,363.05","1,352.57","1,505.95","1,003.05","65,865","8,90,87,067.45","10,212"
"19-Aug-2024","EQ","1,345.00","1,374.85","1,332.00","1,340.10","1,352.00","1,356.15","1,348.03","1,505.95","1,003.05","42,589","5,74,11,174.65","7,193"
"16-Aug-2024","EQ","1,361.65","1,376.95","1,333.15","1,363.75","1,340.00","1,340.10","1,345.09","1,505.95","1,003.05","76,095","10,23,54,892.95","7,591"
"14-Aug-2024","EQ","1,349.90","1,369.90","1,326.00","1,347.55","1,363.00","1,363.75","1,346.49","1,505.95","1,003.05","52,684","7,09,38,473.65","8,114"
"13-Aug-2024","EQ","1,369.90","1,369.90","1,325.20","1,331.00","1,332.15","1,347.55","1,354.07","1,505.95","1,003.05","73,603","9,96,63,802.35","9,800"
"13-Aug-2024","BL","1,318.00","1,318.00","1,318.00","909.00","1,318.00","1,318.00","1,318.00","1,318.00","1,318.00","32,95,500","4,34,34,69,000.00","2"
"12-Aug-2024","EQ","1,352.95","1,361.90","1,328.30","1,352.90","1,330.00","1,331.00","1,341.21","1,505.95","1,003.05","27,564","3,69,69,088.45","5,816"
"09-Aug-2024","EQ","1,364.30","1,370.95","1,340.00","1,359.35","1,355.00","1,352.90","1,358.31","1,505.95","1,003.05","1,02,092","13,86,72,328.80","6,254"
"08-Aug-2024","EQ","1,379.30","1,411.30","1,353.00","1,375.95","1,355.00","1,359.35","1,374.33","1,505.95","1,003.05","61,009","8,38,46,370.50","6,745"
"07-Aug-2024","EQ","1,362.00","1,380.95","1,342.50","1,354.85","1,376.00","1,375.95","1,372.67","1,505.95","1,003.05","15,612","2,14,30,198.25","4,471"
"06-Aug-2024","EQ","1,362.00","1,396.95","1,349.00","1,369.05","1,351.00","1,354.85","1,370.26","1,505.95","1,003.05","29,867","4,09,25,655.20","5,987"
"05-Aug-2024","EQ","1,385.00","1,396.00","1,361.25","1,396.05","1,382.00","1,369.05","1,371.45","1,505.95","1,003.05","1,01,297","13,89,23,365.95","38,874"
"02-Aug-2024","EQ","1,398.15","1,418.10","1,380.30","1,398.35","1,385.00","1,396.05","1,399.07","1,505.95","1,003.05","56,833","7,95,13,128.75","12,852"
"01-Aug-2024","EQ","1,424.00","1,450.00","1,384.10","1,401.65","1,390.50","1,398.35","1,403.06","1,505.95","1,003.05","2,12,396","29,80,04,743.30","22,560"
"31-Jul-2024","EQ","1,429.00","1,433.00","1,388.95","1,425.50","1,403.25","1,401.65","1,419.45","1,505.95","1,003.05","1,08,186","15,35,64,145.80","7,501"
"30-Jul-2024","EQ","1,433.60","1,449.00","1,422.00","1,426.45","1,430.00","1,425.50","1,433.98","1,505.95","1,003.05","72,024","10,32,81,025.80","7,884"
"29-Jul-2024","EQ","1,428.00","1,457.90","1,420.00","1,419.90","1,432.00","1,426.45","1,440.70","1,505.95","1,003.05","87,691","12,63,36,303.10","10,935"
