"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","232.00","238.35","231.20","231.40","232.20","232.60","234.62","274.95","159.05","5,62,011","13,18,60,353.80","12,982"
"23-Aug-2024","EQ","228.55","233.95","224.05","227.45","231.50","231.40","229.43","274.95","159.05","2,42,749","5,56,93,959.50","7,732"
"22-Aug-2024","EQ","223.50","232.90","221.95","221.25","226.50","227.45","227.59","274.95","159.05","4,70,985","10,71,93,025.55","10,845"
"21-Aug-2024","EQ","219.70","223.10","219.70","219.70","221.00","221.25","221.30","274.95","159.05","1,71,941","3,80,50,647.75","5,010"
"20-Aug-2024","EQ","223.45","223.45","218.70","220.20","219.95","219.70","220.48","274.95","159.05","1,73,702","3,82,97,605.50","7,232"
"19-Aug-2024","EQ","215.30","223.25","215.30","215.25","220.00","220.20","220.05","274.95","159.05","3,28,217","7,22,22,937.30","8,644"
"16-Aug-2024","EQ","215.50","219.00","213.05","214.40","216.30","215.25","215.41","274.95","159.05","2,63,114","5,66,78,700.90","8,147"
"14-Aug-2024","EQ","221.45","221.50","213.45","219.30","214.50","214.40","216.10","274.95","159.05","2,14,341","4,63,19,668.40","9,346"
"13-Aug-2024","EQ","228.00","231.40","217.90","229.85","219.20","219.30","224.43","274.95","159.05","2,97,844","6,68,46,221.10","10,294"
"12-Aug-2024","EQ","234.70","234.70","224.95","235.00","230.15","229.85","230.10","274.95","159.05","2,44,936","5,63,59,337.50","11,533"
"09-Aug-2024","EQ","239.65","240.80","234.10","237.10","235.95","235.00","236.72","274.95","159.05","3,13,918","7,43,10,654.20","11,082"
"08-Aug-2024","EQ","239.40","241.60","236.05","240.45","237.20","237.10","238.00","274.95","159.05","2,30,946","5,49,64,613.30","8,264"
"07-Aug-2024","EQ","240.15","243.05","236.10","235.45","240.90","240.45","239.60","274.95","159.05","2,32,737","5,57,64,490.60","9,166"
"06-Aug-2024","EQ","238.45","245.10","233.30","236.70","236.00","235.45","239.09","274.95","159.05","4,80,978","11,49,97,346.15","14,399"
"05-Aug-2024","EQ","251.15","251.15","234.05","258.55","236.45","236.70","240.29","274.95","159.05","7,30,989","17,56,51,352.50","29,130"
"02-Aug-2024","EQ","265.85","265.85","257.30","264.30","258.00","258.55","260.55","274.95","159.05","5,78,511","15,07,33,006.90","18,747"
"01-Aug-2024","EQ","257.50","274.95","252.80","252.66","264.80","264.30","267.99","274.95","159.05","32,13,533","86,11,90,184.00","71,636"
"31-Jul-2024","EQ","248.12","257.38","248.11","248.12","254.31","252.66","252.94","274.79","159.05","5,06,771","12,81,82,988.01","14,556"
"30-Jul-2024","EQ","245.70","251.90","244.69","246.66","248.82","248.12","248.13","274.79","159.05","2,52,610","6,26,80,239.23","8,932"
"29-Jul-2024","EQ","249.35","252.20","245.25","249.35","245.25","246.66","247.63","274.79","159.05","2,71,728","6,72,87,117.72","7,282"
