"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","688.60","691.55","670.00","681.75","681.95","681.05","681.12","1,154.00","467.55","2,83,697","19,32,30,811.05","14,795"
"23-Aug-2024","EQ","684.20","694.85","675.50","682.70","682.00","681.75","684.76","1,154.00","467.55","2,73,052","18,69,74,504.30","14,652"
"22-Aug-2024","EQ","722.00","725.15","678.50","713.05","684.00","682.70","700.96","1,154.00","467.55","6,94,527","48,68,34,028.95","32,461"
"21-Aug-2024","EQ","694.90","718.00","689.10","691.45","716.00","713.05","706.92","1,154.00","467.55","8,29,670","58,65,06,675.95","31,405"
"20-Aug-2024","EQ","684.00","714.90","676.35","680.40","690.10","691.45","701.50","1,154.00","467.55","12,98,715","91,10,45,909.40","54,277"
"19-Aug-2024","EQ","663.00","682.50","656.00","654.50","677.70","680.40","672.98","1,154.00","467.55","6,39,078","43,00,89,309.05","25,384"
"16-Aug-2024","EQ","658.60","663.65","642.00","657.50","652.75","654.50","651.51","1,154.00","467.55","2,53,958","16,54,55,641.65","16,483"
"14-Aug-2024","EQ","643.00","666.00","621.50","637.45","656.00","657.50","649.25","1,154.00","467.55","5,57,078","36,16,83,030.40","29,507"
"13-Aug-2024","EQ","633.45","682.00","629.20","633.30","642.00","637.45","659.57","1,154.00","467.55","12,90,285","85,10,38,303.65","48,610"
"12-Aug-2024","EQ","625.00","643.80","615.65","614.95","630.00","633.30","632.72","1,154.00","467.55","12,11,388","76,64,71,310.00","55,405"
"09-Aug-2024","EQ","555.00","624.00","549.30","554.80","614.10","614.95","595.08","1,154.00","467.55","20,75,001","1,23,47,89,515.45","56,294"
"08-Aug-2024","EQ","560.20","565.00","553.50","562.55","556.00","554.80","558.61","1,154.00","467.55","1,69,239","9,45,39,155.30","10,324"
"07-Aug-2024","EQ","574.00","574.00","556.40","563.30","561.40","562.55","562.17","1,154.00","467.55","2,95,654","16,62,06,508.10","17,967"
"06-Aug-2024","EQ","600.00","609.75","560.05","590.10","564.25","563.30","577.40","1,154.00","467.55","2,32,740","13,43,83,678.35","13,270"
"05-Aug-2024","EQ","588.95","605.00","566.05","598.85","596.00","590.10","580.66","1,154.00","467.55","3,31,453","19,24,60,856.30","18,316"
"02-Aug-2024","EQ","598.90","610.50","592.10","601.70","599.70","598.85","601.94","1,154.00","467.55","1,44,805","8,71,64,121.40","8,966"
"01-Aug-2024","EQ","611.60","629.00","598.15","610.20","602.00","601.70","613.77","1,154.00","467.55","3,86,850","23,74,36,291.85","18,148"
"31-Jul-2024","EQ","608.85","615.75","604.60","608.85","610.00","610.20","609.94","1,154.00","467.55","1,33,552","8,14,59,369.55","7,971"
"30-Jul-2024","EQ","598.80","614.00","597.35","598.80","609.50","608.85","608.47","1,154.00","467.55","1,88,993","11,49,95,841.40","9,575"
"29-Jul-2024","EQ","610.00","617.00","597.00","607.70","599.05","598.80","603.16","1,154.00","467.55","1,91,527","11,55,21,769.55","10,982"
