"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","6.09","6.15","5.91","5.94","5.95","5.94","6.02","8.40","4.99","5,05,743","30,44,689.57","2,472"
"23-Aug-2024","EQ","5.83","5.99","5.68","5.73","5.97","5.94","5.86","8.40","4.99","6,28,780","36,85,643.55","1,682"
"22-Aug-2024","EQ","5.72","5.84","5.54","5.57","5.71","5.73","5.72","8.40","4.99","5,51,952","31,57,107.62","1,647"
"21-Aug-2024","EQ","5.79","5.85","5.50","5.79","5.59","5.57","5.61","8.40","4.99","8,77,111","49,19,984.94","1,558"
"20-Aug-2024","EQ","5.93","6.02","5.61","5.74","5.86","5.79","5.83","8.40","4.99","4,08,423","23,81,785.44","1,398"
"19-Aug-2024","EQ","5.88","5.88","5.50","5.61","5.82","5.74","5.76","8.40","4.99","2,27,180","13,08,535.09","1,118"
"16-Aug-2024","EQ","5.69","5.79","5.55","5.69","5.65","5.61","5.63","8.40","4.99","1,49,155","8,39,709.78","900"
"14-Aug-2024","EQ","5.76","5.89","5.55","5.76","5.67","5.69","5.69","8.40","4.99","2,04,729","11,65,090.12","843"
"13-Aug-2024","EQ","5.96","6.14","5.75","5.96","5.75","5.76","5.91","8.40","4.99","1,65,696","9,79,424.83","901"
"12-Aug-2024","EQ","5.80","6.03","5.79","5.97","5.99","5.96","5.92","8.40","4.99","2,22,490","13,16,237.80","1,020"
"09-Aug-2024","EQ","6.00","6.29","5.91","6.06","5.98","5.97","6.02","8.45","4.99","3,67,822","22,13,226.64","1,248"
"08-Aug-2024","EQ","6.18","6.18","5.84","5.90","6.07","6.06","6.04","8.45","4.99","2,80,519","16,94,417.27","1,735"
"07-Aug-2024","EQ","5.68","5.90","5.60","5.62","5.90","5.90","5.80","8.45","4.99","1,40,841","8,16,602.58","608"
"06-Aug-2024","EQ","5.90","5.96","5.60","5.89","5.62","5.62","5.74","8.45","4.99","5,68,672","32,63,963.70","1,332"
"05-Aug-2024","EQ","5.89","6.10","5.89","6.20","5.89","5.89","5.92","8.45","4.99","3,99,927","23,66,445.37","961"
"02-Aug-2024","EQ","6.39","6.39","6.15","6.44","6.26","6.20","6.28","8.60","4.99","4,35,522","27,36,592.50","1,500"
"01-Aug-2024","EQ","6.39","6.52","6.26","6.21","6.52","6.44","6.47","8.60","4.99","9,24,412","59,77,318.42","1,295"
"31-Jul-2024","EQ","6.34","6.49","6.20","6.34","6.25","6.21","6.27","8.60","4.99","4,20,193","26,33,302.83","1,172"
"30-Jul-2024","EQ","6.74","6.75","6.34","6.68","6.34","6.34","6.51","8.60","4.99","8,34,869","54,36,900.38","2,238"
"29-Jul-2024","EQ","6.45","6.75","6.01","6.31","6.74","6.68","6.45","8.60","4.99","26,87,346","1,73,38,789.43","5,937"
