"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","16.95","16.95","16.95","16.62","16.95","16.95","16.95","16.95","4.40","39,703","6,72,965.85","52"
"23-Aug-2024","BE","16.62","16.62","16.62","16.30","16.62","16.62","16.62","16.62","4.40","22,582","3,75,312.84","45"
"22-Aug-2024","BE","16.30","16.30","16.30","15.99","16.30","16.30","16.30","16.30","4.40","36,708","5,98,340.40","53"
"21-Aug-2024","BE","15.99","15.99","15.99","15.68","15.99","15.99","15.99","15.99","4.40","30,719","4,91,196.81","53"
"20-Aug-2024","BE","15.68","15.68","15.68","14.94","15.68","15.68","15.68","15.68","4.40","22,332","3,50,165.76","67"
"19-Aug-2024","BE","14.94","14.94","14.94","14.23","14.94","14.94","14.94","14.94","4.40","46,068","6,88,255.92","96"
"16-Aug-2024","BE","14.00","14.23","12.89","13.56","14.23","14.23","13.97","14.88","4.40","1,88,258","26,29,308.36","371"
"14-Aug-2024","BE","13.56","13.56","12.65","12.92","13.56","13.56","13.55","14.88","4.40","2,99,824","40,62,183.33","374"
"13-Aug-2024","BE","13.05","13.55","12.41","12.96","12.89","12.92","12.96","14.88","4.40","58,377","7,56,416.77","195"
"12-Aug-2024","BE","13.25","13.48","12.60","13.00","13.05","12.96","13.05","14.88","4.40","43,561","5,68,470.78","220"
"09-Aug-2024","BE","13.03","13.30","12.32","12.77","13.00","13.00","13.08","14.88","4.40","28,696","3,75,417.69","180"
"08-Aug-2024","BE","13.52","13.84","12.65","13.25","13.24","12.77","13.11","14.88","4.40","59,047","7,73,921.49","214"
"07-Aug-2024","BE","13.42","13.42","12.60","12.79","13.29","13.25","13.33","14.88","4.40","39,846","5,31,042.27","183"
"06-Aug-2024","BE","12.42","13.70","12.42","13.05","13.00","12.79","13.35","14.88","4.40","46,725","6,23,899.33","274"
"05-Aug-2024","BE","13.48","14.19","12.90","13.57","13.29","13.05","13.28","14.88","4.40","63,500","8,43,112.52","300"
"02-Aug-2024","BE","12.45","13.76","12.45","13.11","13.53","13.57","12.80","14.88","4.40","1,14,136","14,61,016.87","298"
"01-Aug-2024","BE","14.40","14.40","13.11","13.80","13.11","13.11","13.61","14.88","4.40","2,24,904","30,60,631.38","572"
"31-Jul-2024","BE","13.80","13.80","13.80","13.15","13.80","13.80","13.80","14.88","4.40","49,459","6,82,534.20","42"
"30-Jul-2024","BE","13.15","13.15","13.15","12.53","13.15","13.15","13.15","14.88","4.40","20,250","2,66,287.50","48"
"29-Jul-2024","BE","12.53","12.53","12.53","11.94","12.53","12.53","12.53","14.88","4.40","22,779","2,85,420.87","53"
