"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","7.38","7.38","7.06","7.07","7.14","7.12","7.10","8.50","6.00","31,77,876","2,25,48,727.58","9,756"
"23-Aug-2024","EQ","7.09","7.12","7.04","7.09","7.07","7.07","7.06","8.50","6.00","18,89,073","1,33,38,037.59","8,155"
"22-Aug-2024","EQ","7.09","7.20","7.06","7.09","7.10","7.09","7.09","8.50","6.00","19,57,401","1,38,74,626.61","7,892"
"21-Aug-2024","EQ","7.13","7.16","7.09","7.11","7.10","7.09","7.11","8.50","6.00","30,77,188","2,18,81,391.12","9,267"
"20-Aug-2024","EQ","7.07","7.14","7.04","7.06","7.13","7.11","7.08","8.50","6.00","39,69,080","2,81,10,004.56","9,006"
"19-Aug-2024","EQ","6.98","7.08","6.97","6.96","7.08","7.06","7.05","8.50","6.00","31,23,134","2,20,33,313.88","10,268"
"16-Aug-2024","EQ","6.99","7.08","6.90","6.98","6.96","6.96","6.96","8.50","6.00","17,13,505","1,19,25,699.63","8,968"
"14-Aug-2024","EQ","6.95","7.01","6.90","6.95","6.99","6.98","6.97","8.50","6.00","27,37,510","1,90,81,021.06","8,031"
"13-Aug-2024","EQ","6.91","6.98","6.91","6.91","6.96","6.95","6.96","8.50","6.00","28,46,136","1,98,07,496.89","9,410"
"12-Aug-2024","EQ","6.89","6.96","6.88","6.89","6.92","6.91","6.90","8.50","6.00","22,39,018","1,54,56,629.73","10,864"
"09-Aug-2024","EQ","6.92","6.92","6.83","6.83","6.90","6.89","6.89","8.50","6.00","35,50,538","2,44,67,732.83","8,723"
"08-Aug-2024","EQ","6.93","6.98","6.82","6.84","6.85","6.83","6.85","8.50","6.00","18,44,615","1,26,26,583.04","9,461"
"07-Aug-2024","EQ","6.87","6.95","6.83","6.87","6.86","6.84","6.85","8.50","6.00","39,50,763","2,70,52,916.81","10,699"
"06-Aug-2024","EQ","6.90","6.98","6.86","6.90","6.89","6.87","6.89","8.50","6.00","35,60,810","2,45,30,771.24","12,150"
"05-Aug-2024","EQ","6.97","7.06","6.88","6.97","6.91","6.90","6.93","8.50","6.00","45,38,997","3,14,69,991.67","16,507"
"02-Aug-2024","EQ","6.91","6.99","6.90","6.91","6.98","6.97","6.97","8.50","6.00","32,25,349","2,24,72,866.40","10,649"
"01-Aug-2024","EQ","6.88","6.99","6.88","6.88","6.91","6.91","6.93","8.50","6.00","47,40,556","3,28,60,651.11","12,189"
"31-Jul-2024","EQ","6.88","6.99","6.87","6.87","6.89","6.88","6.90","8.50","6.00","59,96,283","4,13,46,975.90","13,787"
"30-Jul-2024","EQ","7.10","7.13","6.81","6.96","6.85","6.87","6.89","8.50","6.00","1,37,87,728","9,50,48,683.72","23,087"
"29-Jul-2024","EQ","7.06","7.28","6.89","7.05","7.00","6.96","7.05","8.50","6.00","90,44,998","6,37,51,912.01","20,081"
