"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,053.00","1,064.90","1,040.00","1,036.95","1,054.90","1,048.65","1,052.93","1,400.00","970.10","91,34,874","9,61,83,65,088.45","2,15,438"
"23-Aug-2024","EQ","1,012.95","1,054.80","1,012.95","1,007.20","1,039.00","1,036.95","1,031.44","1,400.00","970.10","1,74,89,571","18,03,93,83,707.35","2,64,809"
"22-Aug-2024","EQ","1,036.50","1,045.00","1,002.40","1,025.45","1,010.80","1,007.20","1,021.35","1,400.00","970.10","35,83,853","3,66,03,79,950.35","77,612"
"21-Aug-2024","EQ","1,007.00","1,048.75","1,000.45","1,004.40","1,026.00","1,025.45","1,026.71","1,400.00","970.10","50,21,319","5,15,54,19,576.45","1,23,427"
"20-Aug-2024","EQ","1,001.00","1,040.00","998.00","998.70","999.80","1,004.40","1,020.85","1,400.00","970.10","34,47,339","3,51,92,20,245.75","1,08,892"
"19-Aug-2024","EQ","1,007.35","1,007.35","996.00","999.05","996.30","998.70","999.39","1,400.00","970.10","3,44,295","34,40,85,243.75","20,997"
"16-Aug-2024","EQ","994.95","1,012.00","993.15","992.40","998.00","999.05","1,002.44","1,400.00","970.10","12,01,484","1,20,44,10,137.70","41,483"
"14-Aug-2024","EQ","994.05","996.00","980.00","994.45","993.00","992.40","988.72","1,400.00","970.10","3,47,203","34,32,85,288.70","24,142"
"13-Aug-2024","EQ","993.00","996.90","988.00","993.10","996.00","994.45","991.49","1,400.00","970.10","4,38,966","43,52,29,819.05","30,805"
"12-Aug-2024","EQ","985.00","994.90","980.35","989.65","992.50","993.10","989.04","1,400.00","970.10","3,86,111","38,18,79,633.75","27,617"
"09-Aug-2024","EQ","1,004.70","1,009.95","987.50","998.80","989.90","989.65","996.06","1,400.00","970.10","3,91,532","38,99,88,737.90","24,416"
"08-Aug-2024","EQ","1,000.00","1,004.30","992.20","999.15","999.60","998.80","996.98","1,400.00","970.10","4,45,571","44,42,27,458.55","23,649"
"07-Aug-2024","EQ","990.00","1,001.95","983.10","983.05","1,000.00","999.15","992.24","1,400.00","970.10","5,64,967","56,05,85,280.65","28,714"
"06-Aug-2024","EQ","976.25","993.95","976.00","976.30","981.35","983.05","986.24","1,400.00","970.10","6,56,501","64,74,67,865.25","40,005"
"05-Aug-2024","EQ","981.00","985.50","970.10","992.00","977.45","976.30","976.62","1,400.00","970.10","10,58,840","1,03,40,87,302.70","87,455"
"02-Aug-2024","EQ","993.00","997.20","990.80","995.40","992.20","992.00","993.58","1,400.00","982.25","3,55,341","35,30,61,269.05","27,310"
"01-Aug-2024","EQ","1,001.00","1,004.00","994.00","999.35","995.20","995.40","997.77","1,400.00","982.25","5,78,837","57,75,46,891.65","32,379"
"31-Jul-2024","EQ","1,000.00","1,004.00","998.95","999.05","999.70","999.35","1,000.23","1,400.00","982.25","3,23,172","32,32,45,663.35","17,382"
"30-Jul-2024","EQ","1,004.50","1,004.50","998.00","1,000.50","999.50","999.05","1,000.51","1,400.00","982.25","4,34,066","43,42,85,447.35","27,900"
"29-Jul-2024","EQ","1,002.00","1,007.35","999.05","999.00","999.75","1,000.50","1,002.33","1,400.00","982.25","4,00,954","40,18,87,306.60","23,560"
