"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","8.36","8.51","8.35","8.34","8.50","8.49","8.46","10.32","6.74","10,39,605","87,89,875.62","2,050"
"23-Aug-2024","EQ","8.35","8.36","7.00","8.37","8.36","8.34","8.31","10.32","6.74","2,81,523","23,38,605.54","1,548"
"22-Aug-2024","EQ","8.44","8.44","8.34","8.38","8.39","8.37","8.37","10.32","6.74","3,34,469","28,00,731.10","1,665"
"21-Aug-2024","EQ","8.38","8.44","8.32","8.39","8.39","8.38","8.38","10.32","6.74","10,07,581","84,45,756.04","1,731"
"20-Aug-2024","EQ","8.36","8.41","8.29","8.28","8.41","8.39","8.37","10.32","6.74","18,41,735","1,54,13,582.74","1,997"
"19-Aug-2024","EQ","8.20","8.33","8.20","8.10","8.30","8.28","8.26","10.32","6.74","10,76,543","88,93,262.93","2,196"
"16-Aug-2024","EQ","8.18","8.18","8.00","8.07","8.12","8.10","8.10","10.32","6.74","6,79,476","55,00,954.83","1,968"
"14-Aug-2024","EQ","8.04","8.08","8.00","8.03","8.07","8.07","8.05","10.32","6.74","8,67,372","69,81,313.19","1,414"
"13-Aug-2024","EQ","8.08","8.08","7.96","8.08","8.04","8.03","8.04","10.32","6.74","6,88,931","55,41,841.42","1,838"
"12-Aug-2024","EQ","8.13","8.13","7.96","8.01","8.09","8.08","8.04","10.32","6.74","10,98,234","88,25,295.45","2,182"
"09-Aug-2024","EQ","7.98","8.04","7.95","7.85","8.01","8.01","8.02","10.32","6.74","11,39,827","91,43,608.69","1,943"
"08-Aug-2024","EQ","7.91","8.00","7.84","7.91","7.85","7.85","7.87","10.32","6.74","7,38,952","58,14,395.65","2,483"
"07-Aug-2024","EQ","7.87","7.97","7.85","7.87","7.92","7.91","7.92","10.32","6.74","12,72,350","1,00,77,230.66","2,271"
"06-Aug-2024","EQ","8.03","8.07","7.82","8.04","7.87","7.87","7.93","10.32","6.74","20,88,581","1,65,52,168.28","4,570"
"05-Aug-2024","EQ","8.32","8.35","8.03","8.32","8.06","8.04","8.15","10.32","6.74","15,25,444","1,24,33,773.61","4,026"
"02-Aug-2024","EQ","8.33","8.44","8.25","8.33","8.33","8.32","8.31","10.32","6.74","7,44,215","61,88,097.58","1,958"
"01-Aug-2024","EQ","8.34","8.35","8.26","8.26","8.34","8.33","8.33","10.32","6.74","10,42,166","86,79,014.70","2,090"
"31-Jul-2024","EQ","8.17","8.28","8.16","8.10","8.25","8.26","8.25","10.32","6.74","18,47,525","1,52,36,655.88","2,021"
"30-Jul-2024","EQ","8.40","8.40","8.07","8.17","8.13","8.10","8.12","10.32","6.74","20,52,095","1,66,65,925.78","3,123"
"29-Jul-2024","EQ","8.10","8.20","8.06","8.10","8.18","8.17","8.16","10.32","6.74","15,69,586","1,28,10,465.10","2,837"
