"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","12.07","12.56","12.07","12.32","12.56","12.56","12.26","17.58","9.55","14,482","1,77,566.08","93"
"23-Aug-2024","BE","12.33","12.33","12.30","12.33","12.32","12.32","12.32","17.58","9.10","3,862","47,562.81","59"
"22-Aug-2024","BE","12.55","12.55","12.30","12.55","12.33","12.33","12.33","17.58","8.70","15,688","1,93,493.86","159"
"21-Aug-2024","BE","12.60","12.60","12.55","12.80","12.55","12.55","12.59","17.58","8.30","13,664","1,71,973.30","118"
"20-Aug-2024","BE","12.80","12.80","12.80","12.79","12.80","12.80","12.80","17.58","7.95","9,914","1,26,899.20","92"
"19-Aug-2024","BE","12.75","12.79","12.75","12.54","12.79","12.79","12.76","17.58","7.60","10,781","1,37,574.75","87"
"16-Aug-2024","BE","12.30","12.54","12.30","12.30","12.54","12.54","12.51","17.58","5.00","12,161","1,52,085.66","152"
"14-Aug-2024","BE","12.30","12.30","12.12","12.37","12.30","12.30","12.15","17.58","4.75","14,126","1,71,633.26","92"
"13-Aug-2024","BE","12.50","12.50","12.37","12.62","12.37","12.37","12.38","17.58","4.75","19,411","2,40,253.69","98"
"12-Aug-2024","BE","12.88","12.88","12.62","12.88","12.62","12.62","12.74","17.58","4.75","12,027","1,53,264.46","74"
"09-Aug-2024","BE","12.88","12.88","12.88","13.15","12.88","12.88","12.88","17.58","4.75","6,104","78,619.52","53"
"08-Aug-2024","BE","13.15","13.15","13.15","13.42","13.15","13.15","13.15","17.58","4.75","7,408","97,415.20","58"
"07-Aug-2024","BE","13.42","13.42","13.42","13.70","13.42","13.42","13.42","17.58","4.75","8,975","1,20,444.50","60"
"06-Aug-2024","BE","14.40","14.50","13.70","14.43","13.70","13.70","14.03","17.58","4.75","80,393","11,27,962.03","428"
"05-Aug-2024","BE","15.87","15.87","14.43","15.19","14.43","14.43","14.91","17.58","4.75","99,632","14,85,894.63","440"
"02-Aug-2024","BE","15.19","15.19","15.19","14.47","15.19","15.19","15.19","17.58","4.60","17,066","2,59,232.54","65"
"01-Aug-2024","BE","14.47","14.47","14.47","13.79","14.47","14.47","14.47","17.58","4.60","21,230","3,07,198.10","45"
"31-Jul-2024","BE","13.69","13.79","13.69","13.14","13.79","13.79","13.76","17.58","4.45","33,305","4,58,375.45","143"
"30-Jul-2024","BE","12.30","13.14","11.91","12.52","13.14","13.14","13.06","17.58","4.45","1,45,691","19,02,600.05","518"
"29-Jul-2024","BE","13.77","13.77","12.52","13.18","12.53","12.52","12.63","17.58","4.45","1,05,236","13,28,687.00","683"
