"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","1,700.00","1,746.00","1,672.00","1,692.50","1,725.00","1,711.30","1,710.50","1,796.70","480.00","69,698","11,92,18,628.85","7,893"
"23-Aug-2024","BE","1,714.90","1,724.00","1,652.00","1,705.05","1,692.00","1,692.50","1,689.90","1,796.70","466.10","73,995","12,50,43,963.85","8,261"
"22-Aug-2024","BE","1,709.80","1,714.50","1,650.10","1,693.70","1,707.00","1,705.05","1,683.57","1,796.70","466.10","66,607","11,21,37,874.75","8,593"
"21-Aug-2024","BE","1,715.60","1,750.00","1,651.10","1,703.90","1,690.00","1,693.70","1,693.23","1,796.70","466.10","63,838","10,80,92,569.15","7,292"
"20-Aug-2024","BE","1,751.65","1,796.70","1,679.60","1,729.60","1,700.00","1,703.90","1,726.76","1,796.70","466.10","86,099","14,86,72,183.75","9,177"
"19-Aug-2024","BE","1,690.00","1,729.60","1,678.95","1,647.25","1,729.60","1,729.60","1,724.70","1,777.00","466.10","1,21,604","20,97,30,468.00","9,613"
"16-Aug-2024","BE","1,599.45","1,647.25","1,595.00","1,568.85","1,647.25","1,647.25","1,645.25","1,777.00","440.00","1,87,938","30,92,05,269.25","5,642"
"14-Aug-2024","BE","1,687.80","1,691.00","1,551.00","1,629.45","1,560.00","1,568.85","1,601.37","1,777.00","440.00","1,01,522","16,25,74,230.00","9,645"
"13-Aug-2024","BE","1,745.00","1,745.00","1,611.00","1,691.10","1,644.00","1,629.45","1,659.20","1,777.00","440.00","54,726","9,08,01,481.05","6,809"
"12-Aug-2024","BE","1,688.70","1,730.70","1,670.00","1,648.30","1,699.00","1,691.10","1,706.54","1,777.00","440.00","98,231","16,76,35,307.95","10,828"
"09-Aug-2024","BE","1,631.00","1,675.00","1,620.00","1,617.45","1,660.00","1,648.30","1,649.36","1,777.00","432.00","56,203","9,26,98,902.35","8,745"
"08-Aug-2024","BE","1,687.00","1,687.00","1,610.00","1,650.50","1,627.00","1,617.45","1,619.15","1,777.00","432.00","95,743","15,50,22,715.95","16,330"
"07-Aug-2024","BE","1,555.00","1,656.70","1,555.00","1,577.85","1,656.70","1,650.50","1,610.11","1,777.00","432.00","1,15,994","18,67,63,070.70","4,696"
"06-Aug-2024","BE","1,610.00","1,650.00","1,550.00","1,624.95","1,590.00","1,577.85","1,612.38","1,777.00","432.00","86,905","14,01,23,566.35","7,196"
"05-Aug-2024","BE","1,626.00","1,672.00","1,624.95","1,710.45","1,624.95","1,624.95","1,632.02","1,777.00","432.00","92,207","15,04,83,251.55","7,811"
"02-Aug-2024","BE","1,651.00","1,777.00","1,650.00","1,701.10","1,729.00","1,710.45","1,709.93","1,777.00","432.00","3,51,710","60,13,98,556.00","7,316"
"01-Aug-2024","BE","1,695.00","1,720.10","1,640.55","1,706.80","1,715.95","1,701.10","1,686.61","1,722.00","432.00","4,69,507","79,18,77,514.75","10,615"
"31-Jul-2024","BE","1,669.95","1,720.00","1,633.50","1,642.30","1,685.15","1,706.80","1,655.45","1,722.00","432.00","1,66,411","27,54,84,444.60","6,048"
"30-Jul-2024","BE","1,650.00","1,653.00","1,620.00","1,650.25","1,643.90","1,642.30","1,639.94","1,722.00","432.00","1,79,675","29,46,55,882.80","10,831"
"29-Jul-2024","BE","1,688.05","1,690.00","1,630.00","1,688.05","1,635.00","1,650.25","1,659.87","1,722.00","432.00","93,762","15,56,33,167.35","12,689"
