"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","1,291.00","1,297.50","1,259.10","1,289.00","1,265.00","1,266.90","1,280.39","1,495.00","651.25","2,01,914","25,85,27,738.95","15,754"
"23-Aug-2024","EQ","1,315.00","1,319.70","1,281.05","1,306.60","1,288.50","1,289.00","1,296.67","1,495.00","651.25","2,90,446","37,66,12,965.25","22,860"
"22-Aug-2024","EQ","1,293.90","1,320.00","1,286.35","1,281.20","1,304.70","1,306.60","1,306.95","1,495.00","651.25","5,95,172","77,78,57,653.20","32,036"
"21-Aug-2024","EQ","1,270.00","1,300.00","1,252.00","1,262.95","1,283.95","1,281.20","1,283.98","1,495.00","651.25","6,07,597","78,01,40,085.05","32,588"
"20-Aug-2024","EQ","1,233.90","1,270.00","1,211.35","1,224.30","1,260.00","1,262.95","1,244.60","1,495.00","651.25","3,91,300","48,70,13,869.85","27,697"
"19-Aug-2024","EQ","1,215.00","1,235.45","1,212.10","1,206.40","1,225.00","1,224.30","1,223.41","1,495.00","651.25","1,72,700","21,12,83,463.20","15,908"
"16-Aug-2024","EQ","1,214.40","1,239.85","1,202.50","1,202.05","1,208.50","1,206.40","1,212.69","1,495.00","651.25","1,70,093","20,62,70,017.20","16,903"
"14-Aug-2024","EQ","1,209.00","1,215.90","1,190.20","1,206.10","1,208.00","1,202.05","1,202.11","1,495.00","651.25","1,85,810","22,33,63,455.40","15,671"
"13-Aug-2024","EQ","1,254.70","1,276.45","1,201.10","1,251.85","1,207.95","1,206.10","1,229.65","1,495.00","651.25","2,82,130","34,69,20,110.70","23,230"
"12-Aug-2024","EQ","1,195.00","1,266.00","1,180.05","1,204.85","1,257.00","1,251.85","1,233.43","1,495.00","651.25","3,69,160","45,53,33,738.70","26,584"
"09-Aug-2024","EQ","1,250.85","1,265.40","1,194.00","1,234.85","1,207.00","1,204.85","1,224.73","1,495.00","651.25","4,33,526","53,09,50,836.95","25,563"
"08-Aug-2024","EQ","1,300.00","1,300.00","1,230.65","1,290.45","1,240.85","1,234.85","1,262.93","1,495.00","651.25","5,72,206","72,26,53,263.30","35,836"
"07-Aug-2024","EQ","1,191.00","1,312.95","1,165.00","1,151.05","1,295.95","1,290.45","1,261.25","1,495.00","651.25","17,98,066","2,26,78,14,978.65","98,662"
"06-Aug-2024","EQ","1,170.00","1,210.00","1,140.00","1,148.90","1,146.75","1,151.05","1,182.14","1,495.00","651.25","4,38,825","51,87,52,260.15","29,834"
"05-Aug-2024","EQ","1,140.00","1,169.95","1,106.00","1,202.95","1,140.00","1,148.90","1,133.16","1,495.00","651.25","9,94,759","1,12,72,23,376.65","65,393"
"02-Aug-2024","EQ","1,206.00","1,226.35","1,193.30","1,230.20","1,199.00","1,202.95","1,207.21","1,495.00","651.25","3,64,340","43,98,34,085.05","24,137"
"01-Aug-2024","EQ","1,255.00","1,267.75","1,222.55","1,240.45","1,231.35","1,230.20","1,240.39","1,495.00","651.25","2,69,538","33,43,30,927.65","17,900"
"31-Jul-2024","EQ","1,296.95","1,299.15","1,233.45","1,290.40","1,246.35","1,240.45","1,260.10","1,495.00","651.25","4,68,098","58,98,47,981.35","39,002"
"30-Jul-2024","EQ","1,292.95","1,314.50","1,286.15","1,288.20","1,295.00","1,290.40","1,295.63","1,495.00","651.25","2,57,883","33,41,21,932.45","16,539"
"29-Jul-2024","EQ","1,308.80","1,328.80","1,286.00","1,298.55","1,289.00","1,288.20","1,301.26","1,495.00","651.25","3,00,982","39,16,55,115.05","17,529"
