"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","16.80","16.80","16.15","16.26","16.30","16.33","16.41","20.30","9.50","84,335","13,83,742.03","461"
"23-Aug-2024","EQ","16.48","16.50","15.84","16.01","16.27","16.26","16.25","20.30","9.50","1,70,074","27,63,222.99","625"
"22-Aug-2024","EQ","15.42","16.40","15.42","15.41","16.20","16.01","15.81","20.30","9.50","1,58,546","25,06,878.51","841"
"21-Aug-2024","EQ","15.41","15.87","15.00","15.68","15.31","15.41","15.39","20.30","9.50","1,53,423","23,60,623.04","608"
"20-Aug-2024","EQ","15.38","15.98","15.38","15.38","15.79","15.68","15.73","20.30","9.50","87,002","13,68,555.28","370"
"19-Aug-2024","EQ","15.50","15.89","15.25","15.15","15.32","15.38","15.52","20.30","9.50","36,747","5,70,360.57","320"
"16-Aug-2024","EQ","16.48","16.48","15.06","15.85","15.19","15.15","15.31","20.30","9.50","1,97,966","30,30,856.13","859"
"14-Aug-2024","EQ","15.98","17.00","15.65","15.57","15.90","15.85","16.25","20.30","9.50","99,528","16,17,089.77","516"
"13-Aug-2024","EQ","16.48","16.49","15.49","16.04","15.88","15.57","15.80","20.30","9.50","45,744","7,22,528.45","321"
"12-Aug-2024","EQ","15.67","16.30","15.67","16.03","16.22","16.04","16.05","20.30","9.50","37,419","6,00,557.60","284"
"09-Aug-2024","EQ","16.65","16.79","15.73","16.36","16.21","16.03","16.27","20.30","9.50","19,083","3,10,513.60","206"
"08-Aug-2024","EQ","16.65","16.75","16.26","16.37","16.46","16.36","16.48","20.30","9.50","31,764","5,23,599.32","288"
"07-Aug-2024","EQ","16.20","16.60","16.20","15.83","16.27","16.37","16.34","20.30","9.50","35,328","5,77,251.58","278"
"06-Aug-2024","EQ","16.16","17.00","15.53","16.23","15.96","15.83","16.14","20.30","9.50","1,35,257","21,83,236.38","642"
"05-Aug-2024","EQ","16.20","17.19","16.20","17.03","16.20","16.23","16.48","20.30","9.50","2,39,690","39,50,386.20","1,229"
"02-Aug-2024","EQ","17.10","18.18","16.52","17.26","17.09","17.03","17.34","20.30","9.40","2,89,177","50,13,690.93","1,228"
"01-Aug-2024","EQ","18.20","18.20","17.10","17.66","17.11","17.26","17.54","20.30","9.40","3,89,093","68,26,561.69","1,102"
"31-Jul-2024","EQ","17.65","18.00","17.36","17.26","17.75","17.66","17.62","20.30","9.40","2,12,283","37,40,316.89","1,073"
"30-Jul-2024","EQ","17.48","18.20","16.93","16.94","17.02","17.26","17.59","20.30","9.40","3,32,683","58,53,313.23","1,402"
"29-Jul-2024","EQ","16.80","18.24","16.69","16.75","16.77","16.94","17.36","20.30","9.40","1,97,394","34,26,457.76","817"
