"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","3,812.60","3,819.90","3,687.05","3,775.60","3,765.00","3,781.25","3,749.41","4,817.90","2,524.50","95,530","35,81,80,875.70","16,965"
"23-Aug-2024","EQ","3,705.20","3,796.55","3,684.00","3,705.20","3,777.00","3,775.60","3,761.44","4,817.90","2,524.50","88,729","33,37,49,111.05","12,641"
"22-Aug-2024","EQ","3,732.20","3,774.60","3,652.55","3,712.20","3,702.00","3,705.20","3,721.41","4,817.90","2,524.50","1,15,597","43,01,83,496.65","20,831"
"21-Aug-2024","EQ","3,574.65","3,734.15","3,551.70","3,598.00","3,711.00","3,712.20","3,632.21","4,817.90","2,524.50","2,00,187","72,71,21,668.90","24,151"
"20-Aug-2024","EQ","3,625.60","3,647.95","3,575.70","3,625.60","3,599.65","3,598.00","3,600.17","4,817.90","2,524.50","1,57,305","56,63,24,634.50","22,924"
"19-Aug-2024","EQ","3,666.05","3,729.75","3,615.45","3,662.80","3,625.00","3,625.60","3,663.11","4,817.90","2,524.50","1,38,328","50,67,10,528.20","22,029"
"16-Aug-2024","EQ","3,702.00","3,738.25","3,650.00","3,669.80","3,679.85","3,662.80","3,677.16","4,817.90","2,524.50","88,998","32,72,60,303.05","20,167"
"14-Aug-2024","EQ","3,790.00","3,818.90","3,653.40","3,792.20","3,672.65","3,669.80","3,689.91","4,817.90","2,524.50","1,17,009","43,17,52,327.45","23,209"
"13-Aug-2024","EQ","3,856.00","3,928.65","3,772.50","3,885.55","3,780.95","3,792.20","3,844.76","4,817.90","2,524.50","1,49,933","57,64,56,477.65","29,632"
"12-Aug-2024","EQ","3,945.00","3,945.00","3,784.00","3,973.50","3,880.00","3,885.55","3,861.69","4,817.90","2,524.50","1,53,013","59,08,88,016.90","28,989"
"09-Aug-2024","EQ","4,100.00","4,129.75","3,920.00","4,182.45","3,952.95","3,973.50","4,024.50","4,817.90","2,524.50","1,62,956","65,58,17,170.85","18,188"
"08-Aug-2024","EQ","4,064.95","4,270.00","4,030.05","4,065.90","4,176.10","4,182.45","4,165.96","4,817.90","2,524.50","1,26,740","52,79,93,526.55","32,675"
"07-Aug-2024","EQ","4,250.00","4,250.00","4,035.00","4,205.90","4,040.00","4,065.90","4,100.85","4,817.90","2,524.50","70,113","28,75,22,606.60","18,625"
"06-Aug-2024","EQ","4,196.05","4,294.00","4,189.05","4,178.10","4,208.00","4,205.90","4,246.84","4,817.90","2,524.50","58,244","24,73,52,896.45","12,625"
"05-Aug-2024","EQ","4,199.65","4,222.80","4,081.00","4,272.25","4,166.50","4,178.10","4,169.03","4,817.90","2,524.50","1,32,472","55,22,79,113.05","21,931"
"02-Aug-2024","EQ","4,300.00","4,438.00","4,170.05","4,325.65","4,250.30","4,272.25","4,299.25","4,817.90","2,524.50","1,46,660","63,05,28,095.20","27,534"
"01-Aug-2024","EQ","4,285.00","4,382.50","4,267.95","4,267.95","4,305.00","4,325.65","4,322.13","4,817.90","2,524.50","1,29,632","56,02,85,806.15","21,217"
"31-Jul-2024","EQ","4,234.00","4,295.00","4,201.85","4,213.30","4,275.00","4,267.95","4,250.53","4,817.90","2,524.50","1,29,334","54,97,37,842.00","24,154"
"30-Jul-2024","EQ","4,195.00","4,274.00","4,167.95","4,158.75","4,216.50","4,213.30","4,202.31","4,817.90","2,524.50","1,60,562","67,47,30,897.30","25,198"
"29-Jul-2024","EQ","4,059.25","4,246.00","4,059.25","4,006.25","4,170.00","4,158.75","4,145.84","4,817.90","2,524.50","3,56,091","1,47,62,95,124.60","37,094"
