"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","96.59","96.75","94.89","95.57","96.68","96.59","96.47","96.75","62.51","1,38,521","1,33,62,703.65","1,156"
"23-Aug-2024","EQ","96.67","96.67","95.18","95.68","95.90","95.57","95.70","96.67","61.91","60,699","58,08,625.07","753"
"22-Aug-2024","EQ","94.99","96.37","94.99","95.70","96.10","95.68","95.89","96.37","61.91","61,114","58,60,051.66","953"
"21-Aug-2024","EQ","95.79","96.17","94.59","95.13","95.84","95.70","95.55","96.17","61.91","1,70,543","1,62,96,179.98","873"
"20-Aug-2024","EQ","94.99","95.80","94.50","94.68","95.29","95.13","95.23","95.80","61.91","71,200","67,80,118.18","980"
"19-Aug-2024","EQ","94.99","95.00","94.25","94.04","94.68","94.68","94.72","95.00","61.91","73,230","69,36,665.18","1,047"
"16-Aug-2024","EQ","92.34","94.20","91.60","91.67","94.20","94.04","93.42","94.20","61.33","1,21,685","1,13,68,351.65","1,091"
"14-Aug-2024","EQ","91.83","91.99","89.93","90.48","91.66","91.67","91.92","93.50","61.33","5,38,875","4,95,34,408.88","577"
"13-Aug-2024","EQ","90.88","91.88","90.11","90.88","90.92","90.48","90.91","93.50","61.33","31,911","29,00,893.38","590"
"12-Aug-2024","EQ","91.98","91.98","90.21","91.24","91.60","90.88","91.05","93.50","61.33","48,479","44,14,232.96","614"
"09-Aug-2024","EQ","90.21","92.17","90.21","90.21","91.20","91.24","91.25","93.50","61.33","1,09,096","99,55,469.70","530"
"08-Aug-2024","EQ","92.50","92.50","88.44","91.18","90.30","90.21","90.01","93.50","61.33","57,686","51,92,483.76","836"
"07-Aug-2024","EQ","91.27","91.37","89.20","89.15","91.37","91.18","90.74","93.50","61.33","21,620","19,61,731.99","485"
"06-Aug-2024","EQ","89.61","92.12","88.83","89.61","88.83","89.15","90.63","93.50","61.33","34,120","30,92,279.33","742"
"05-Aug-2024","EQ","92.70","92.70","75.00","92.72","90.00","89.61","89.54","93.50","61.33","1,38,439","1,23,96,381.61","1,990"
"02-Aug-2024","EQ","92.59","93.00","90.00","92.17","92.93","92.72","92.32","93.50","60.51","53,734","49,60,980.35","823"
"01-Aug-2024","EQ","93.23","93.50","91.78","92.72","92.75","92.17","92.49","93.50","60.51","85,373","78,96,390.92","1,441"
"31-Jul-2024","EQ","92.01","93.50","91.72","92.39","93.41","92.72","92.77","93.50","60.51","2,72,408","2,52,71,767.05","746"
"30-Jul-2024","EQ","92.44","93.00","92.00","92.30","92.40","92.39","92.39","93.00","60.51","48,930","45,20,550.74","754"
"29-Jul-2024","EQ","92.61","93.00","91.71","92.24","92.45","92.30","92.38","93.00","60.51","81,723","75,49,459.26","1,169"
