"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","228.50","232.60","225.15","228.40","225.50","225.85","227.71","331.00","221.10","3,03,097","6,90,18,561.75","6,885"
"23-Aug-2024","EQ","230.55","231.00","225.30","230.05","229.00","228.40","227.53","331.00","221.10","3,27,250","7,44,60,624.70","13,417"
"22-Aug-2024","EQ","235.00","237.15","228.40","234.50","228.80","230.05","231.88","331.00","221.10","1,90,459","4,41,63,526.75","7,754"
"21-Aug-2024","EQ","229.00","239.00","229.00","229.40","234.00","234.50","235.18","331.00","221.10","4,14,284","9,74,29,280.60","12,643"
"20-Aug-2024","EQ","230.60","233.70","229.00","229.25","229.00","229.40","231.22","331.00","221.10","3,60,318","8,33,13,774.25","5,674"
"19-Aug-2024","EQ","230.00","233.55","228.65","228.60","228.90","229.25","230.64","331.00","221.10","1,56,935","3,61,95,275.50","4,796"
"16-Aug-2024","EQ","225.60","230.00","224.55","222.60","228.20","228.60","227.64","331.00","220.85","1,27,568","2,90,38,975.60","6,505"
"14-Aug-2024","EQ","232.00","232.00","221.10","231.95","221.70","222.60","223.73","331.00","220.85","2,41,501","5,40,30,521.55","11,718"
"13-Aug-2024","EQ","240.00","240.20","231.00","238.25","231.00","231.95","234.58","331.00","220.85","1,96,818","4,61,69,662.65","11,349"
"12-Aug-2024","EQ","239.05","241.50","235.75","239.10","238.00","238.25","239.23","331.00","220.85","1,74,715","4,17,97,023.05","7,054"
"09-Aug-2024","EQ","246.80","246.80","238.70","242.05","239.30","239.10","240.48","331.00","212.05","1,20,229","2,89,12,405.65","8,487"
"08-Aug-2024","EQ","241.00","246.85","240.00","241.95","241.00","242.05","243.71","331.00","212.05","1,73,164","4,22,01,571.40","6,445"
"07-Aug-2024","EQ","245.20","246.45","239.55","241.55","241.50","241.95","242.96","331.00","212.05","1,14,579","2,78,37,566.25","7,001"
"06-Aug-2024","EQ","244.00","250.65","239.80","242.35","240.30","241.55","245.78","331.00","212.05","1,17,249","2,88,17,083.75","7,003"
"05-Aug-2024","EQ","246.10","250.70","242.00","252.40","242.60","242.35","245.08","331.00","212.05","1,69,497","4,15,41,050.05","6,774"
"02-Aug-2024","EQ","258.10","260.90","251.70","259.80","251.70","252.40","254.83","331.00","208.00","1,54,155","3,92,83,148.25","7,254"
"01-Aug-2024","EQ","262.80","263.10","258.80","261.05","258.80","259.80","260.78","331.00","208.00","71,059","1,85,30,595.05","3,027"
"31-Jul-2024","EQ","261.65","263.50","259.80","259.90","260.70","261.05","261.68","331.00","208.00","77,268","2,02,19,438.40","3,716"
"30-Jul-2024","EQ","261.05","263.90","259.40","259.60","259.90","259.90","260.58","331.00","208.00","1,90,210","4,95,64,510.35","11,394"
"29-Jul-2024","EQ","262.20","262.90","258.20","260.70","259.80","259.60","260.49","331.00","208.00","1,11,435","2,90,27,389.80","4,274"
