"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","22.75","23.15","22.50","22.60","22.94","22.70","22.78","34.65","15.10","17,976","4,09,518.42","241"
"23-Aug-2024","EQ","23.00","23.00","22.20","22.70","22.70","22.60","22.54","34.65","15.05","41,050","9,25,425.78","244"
"22-Aug-2024","EQ","23.60","23.60","22.56","22.84","22.70","22.70","22.86","34.65","15.05","48,464","11,07,970.75","244"
"21-Aug-2024","EQ","23.15","23.15","22.50","22.93","22.68","22.84","22.89","34.65","15.05","42,839","9,80,384.74","348"
"20-Aug-2024","EQ","23.98","23.98","22.75","22.63","23.00","22.93","23.08","34.65","15.05","24,666","5,69,390.98","166"
"19-Aug-2024","EQ","23.80","24.70","22.21","23.59","22.90","22.63","22.91","34.65","15.05","1,02,012","23,36,850.42","505"
"16-Aug-2024","EQ","23.36","24.10","23.25","23.13","23.36","23.59","23.66","34.65","15.05","9,034","2,13,702.91","121"
"14-Aug-2024","EQ","23.85","23.88","22.25","22.73","23.00","23.13","23.23","34.65","15.05","25,721","5,97,382.68","193"
"13-Aug-2024","EQ","23.41","24.25","22.20","23.36","23.05","22.73","23.21","34.65","15.05","23,588","5,47,507.12","268"
"12-Aug-2024","EQ","24.00","24.25","23.25","23.88","23.25","23.36","23.75","34.65","15.05","11,191","2,65,743.39","145"
"09-Aug-2024","EQ","23.26","24.49","23.26","23.26","24.00","23.88","23.73","34.65","15.05","13,822","3,27,936.56","163"
"08-Aug-2024","EQ","23.18","23.99","23.18","23.18","23.20","23.26","23.43","34.65","15.05","25,791","6,04,365.57","150"
"07-Aug-2024","EQ","23.12","24.49","23.12","23.18","23.12","23.18","23.56","34.65","15.05","44,503","10,48,305.14","268"
"06-Aug-2024","EQ","24.60","25.00","23.00","23.84","23.35","23.18","24.02","34.65","15.05","65,865","15,82,076.38","575"
"05-Aug-2024","EQ","25.99","25.99","23.23","25.46","23.99","23.84","24.23","34.65","15.05","40,439","9,79,951.73","576"
"02-Aug-2024","EQ","25.40","26.08","24.48","25.50","25.36","25.46","25.29","34.65","15.05","61,837","15,63,714.24","522"
"01-Aug-2024","EQ","25.00","26.10","24.11","24.59","24.95","25.50","25.08","34.65","15.05","1,27,182","31,89,154.56","534"
"31-Jul-2024","EQ","24.40","25.20","23.74","23.96","24.77","24.59","24.48","34.65","15.05","54,065","13,23,331.17","430"
"30-Jul-2024","EQ","22.86","24.10","22.85","22.63","24.00","23.96","23.73","34.65","15.05","72,938","17,30,862.83","455"
"29-Jul-2024","EQ","23.38","23.38","22.51","22.52","22.84","22.63","22.78","34.65","15.05","34,669","7,89,888.56","264"
