"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","946.70","959.85","929.00","936.05","935.50","940.50","940.93","1,025.00","647.15","68,918","6,48,47,055.95","6,835"
"23-Aug-2024","EQ","968.25","968.40","931.05","963.70","939.00","936.05","943.98","1,025.00","647.15","49,376","4,66,09,886.05","4,961"
"22-Aug-2024","EQ","989.90","994.70","958.10","982.85","964.90","963.70","975.25","1,025.00","647.15","46,923","4,57,61,734.35","6,204"
"21-Aug-2024","EQ","950.00","989.00","946.15","946.80","988.00","982.85","966.62","1,025.00","647.15","72,703","7,02,75,849.15","7,415"
"20-Aug-2024","EQ","945.00","958.95","932.30","951.55","947.00","946.80","944.89","1,025.00","647.15","91,861","8,67,98,954.35","11,775"
"19-Aug-2024","EQ","944.25","958.70","934.10","950.20","949.35","951.55","948.38","1,025.00","647.15","54,606","5,17,87,187.85","5,455"
"16-Aug-2024","EQ","967.75","972.15","926.60","972.65","950.00","950.20","943.64","1,025.00","647.15","1,08,233","10,21,32,641.20","15,009"
"14-Aug-2024","EQ","983.00","993.00","963.30","1,013.90","968.95","972.65","974.21","1,025.00","647.15","1,19,960","11,68,65,725.20","15,105"
"13-Aug-2024","EQ","1,025.00","1,025.00","1,001.05","1,000.10","1,015.00","1,013.90","1,010.73","1,025.00","647.15","3,42,107","34,57,78,319.00","28,694"
"12-Aug-2024","EQ","1,000.50","1,019.40","995.00","1,000.30","1,000.00","1,000.10","1,002.23","1,021.00","647.15","4,70,746","47,17,97,038.55","37,959"
"09-Aug-2024","EQ","1,004.95","1,005.00","995.10","992.65","1,000.80","1,000.30","999.45","1,021.00","647.15","96,313","9,62,59,926.30","16,332"
"08-Aug-2024","EQ","991.75","1,002.05","986.95","991.05","992.80","992.65","995.63","1,021.00","647.15","1,42,731","14,21,07,811.80","24,899"
"07-Aug-2024","EQ","984.75","995.15","982.55","980.15","989.00","991.05","990.85","1,021.00","647.15","65,627","6,50,26,782.70","11,764"
"06-Aug-2024","EQ","978.75","1,009.90","977.00","971.25","980.00","980.15","993.07","1,021.00","647.15","1,85,575","18,42,88,644.10","22,232"
"05-Aug-2024","EQ","970.95","1,021.00","960.50","979.15","968.45","971.25","993.53","1,021.00","647.15","6,38,053","63,39,26,843.00","54,200"
"02-Aug-2024","EQ","953.50","1,013.50","947.00","955.60","971.00","979.15","990.46","1,013.50","647.15","6,51,009","64,47,98,173.30","44,574"
"01-Aug-2024","EQ","968.45","969.50","944.15","964.50","957.00","955.60","953.95","984.00","647.15","59,898","5,71,39,804.60","6,867"
"31-Jul-2024","EQ","948.50","984.00","934.75","936.65","964.50","964.50","966.70","984.00","647.15","2,74,898","26,57,44,782.75","19,441"
"30-Jul-2024","EQ","908.00","946.90","900.00","905.10","935.95","936.65","930.37","946.90","647.15","4,01,345","37,34,00,165.35","23,988"
"29-Jul-2024","EQ","920.35","921.85","896.00","921.85","905.00","905.10","903.59","935.95","647.15","96,672","8,73,51,661.70","9,231"
