"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","4,780.20","4,842.00","4,734.45","4,758.80","4,820.00","4,814.30","4,786.81","5,097.00","2,778.65","12,288","5,88,20,284.20","3,624"
"23-Aug-2024","EQ","4,774.95","4,821.30","4,640.00","4,761.05","4,765.00","4,758.80","4,766.15","5,097.00","2,755.00","8,991","4,28,52,463.40","2,655"
"22-Aug-2024","EQ","4,754.70","4,900.00","4,659.75","4,731.00","4,775.00","4,761.05","4,783.05","5,097.00","2,755.00","30,873","14,76,67,064.20","6,661"
"21-Aug-2024","EQ","4,395.10","4,774.00","4,373.25","4,373.20","4,750.00","4,731.00","4,600.84","5,097.00","2,755.00","46,430","21,36,17,166.00","7,020"
"20-Aug-2024","EQ","4,464.00","4,464.00","4,332.65","4,373.10","4,380.00","4,373.20","4,382.02","5,097.00","2,755.00","5,002","2,19,18,868.10","1,255"
"19-Aug-2024","EQ","4,350.00","4,435.00","4,346.95","4,400.40","4,369.90","4,373.10","4,386.01","5,097.00","2,755.00","6,793","2,97,94,153.35","1,788"
"16-Aug-2024","EQ","4,349.95","4,428.95","4,296.70","4,327.45","4,350.00","4,400.40","4,365.77","5,097.00","2,755.00","11,126","4,85,73,545.15","3,038"
"14-Aug-2024","EQ","4,342.25","4,424.40","4,250.15","4,122.20","4,335.00","4,327.45","4,342.47","5,097.00","2,755.00","79,020","34,31,41,684.25","13,175"
"13-Aug-2024","EQ","4,149.90","4,163.05","4,090.00","4,068.95","4,090.00","4,122.20","4,129.42","5,097.00","2,755.00","4,434","1,83,09,831.85","1,659"
"12-Aug-2024","EQ","4,206.95","4,280.00","4,057.05","4,186.00","4,114.00","4,068.95","4,109.09","5,097.00","2,755.00","8,980","3,68,99,626.55","2,338"
"09-Aug-2024","EQ","4,349.55","4,349.55","4,159.00","4,259.30","4,200.00","4,186.00","4,221.38","5,097.00","2,755.00","6,003","2,53,40,954.35","1,937"
"08-Aug-2024","EQ","4,410.00","4,410.00","4,244.00","4,503.70","4,269.00","4,259.30","4,290.53","5,097.00","2,755.00","18,718","8,03,10,089.80","5,212"
"07-Aug-2024","EQ","4,326.00","4,540.00","4,268.40","4,331.25","4,520.00","4,503.70","4,452.52","5,097.00","2,755.00","14,904","6,63,60,284.95","4,239"
"06-Aug-2024","EQ","4,322.00","4,374.70","4,285.25","4,307.30","4,326.00","4,331.25","4,325.81","5,097.00","2,755.00","3,743","1,61,91,490.35","1,269"
"05-Aug-2024","EQ","4,380.00","4,460.00","4,250.00","4,412.90","4,348.00","4,307.30","4,343.63","5,097.00","2,755.00","14,063","6,10,84,487.10","3,708"
"02-Aug-2024","EQ","4,349.95","4,439.30","4,299.95","4,354.65","4,390.00","4,412.90","4,396.49","5,097.00","2,755.00","35,725","15,70,64,754.80","1,899"
"01-Aug-2024","EQ","4,369.85","4,390.00","4,342.80","4,348.10","4,374.05","4,354.65","4,360.79","5,097.00","2,755.00","3,366","1,46,78,427.50","991"
"31-Jul-2024","EQ","4,409.60","4,446.05","4,330.00","4,387.65","4,363.50","4,348.10","4,383.94","5,097.00","2,755.00","3,196","1,40,11,066.00","991"
"30-Jul-2024","EQ","4,375.95","4,461.90","4,350.10","4,354.45","4,400.00","4,387.65","4,408.43","5,097.00","2,755.00","4,717","2,07,94,578.35","1,866"
"29-Jul-2024","EQ","4,375.00","4,409.00","4,337.05","4,355.35","4,362.00","4,354.45","4,362.86","5,097.00","2,755.00","4,310","1,88,03,912.40","1,526"
