"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","593.00","601.45","579.60","596.30","585.00","583.80","589.94","631.00","395.00","19,420","1,14,56,573.15","2,243"
"23-Aug-2024","EQ","584.20","600.00","580.05","585.50","591.05","596.30","593.12","631.00","395.00","25,146","1,49,14,684.15","3,068"
"22-Aug-2024","EQ","588.55","591.50","581.55","583.35","582.80","585.50","587.27","631.00","395.00","24,048","1,41,22,620.90","2,460"
"21-Aug-2024","EQ","566.95","589.00","563.30","564.75","584.00","583.35","577.14","631.00","395.00","51,144","2,95,17,043.70","4,232"
"20-Aug-2024","EQ","556.55","567.95","555.30","556.55","563.10","564.75","562.54","631.00","395.00","21,438","1,20,59,711.55","2,889"
"19-Aug-2024","EQ","565.00","566.55","553.55","564.70","557.05","556.55","557.66","631.00","395.00","16,424","91,58,968.35","2,376"
"16-Aug-2024","EQ","562.50","570.00","556.10","557.05","560.10","564.70","563.59","631.00","395.00","12,604","71,03,543.05","1,876"
"14-Aug-2024","EQ","563.60","573.00","555.00","572.20","560.00","557.05","562.79","631.00","395.00","21,937","1,23,45,904.10","2,397"
"13-Aug-2024","EQ","580.55","597.55","568.00","573.15","573.00","572.20","582.78","631.00","395.00","51,461","2,99,90,459.25","4,999"
"12-Aug-2024","EQ","558.30","577.30","546.00","558.95","576.45","573.15","562.25","631.00","395.00","52,334","2,94,24,969.90","5,352"
"09-Aug-2024","EQ","598.20","603.70","554.90","578.30","559.00","558.95","570.13","631.00","394.30","95,743","5,45,86,424.05","6,106"
"08-Aug-2024","EQ","582.60","631.00","561.30","582.60","589.00","578.30","608.78","631.00","394.30","5,16,062","31,41,66,965.35","24,327"
"07-Aug-2024","EQ","559.95","589.00","554.30","548.30","588.00","582.60","573.08","615.65","394.30","40,946","2,34,65,241.40","2,770"
"06-Aug-2024","EQ","566.00","572.00","543.50","560.35","545.05","548.30","563.68","615.65","394.30","48,941","2,75,87,158.45","5,876"
"05-Aug-2024","EQ","565.50","569.80","543.95","580.50","560.00","560.35","560.49","615.65","394.30","49,577","2,77,87,167.95","8,335"
"02-Aug-2024","EQ","552.00","585.00","552.00","568.90","583.00","580.50","576.49","615.65","384.50","38,298","2,20,78,603.10","4,515"
"01-Aug-2024","EQ","565.00","572.00","551.10","568.50","568.35","568.90","563.42","615.65","384.50","24,773","1,39,57,709.10","2,888"
"31-Jul-2024","EQ","542.80","571.00","537.65","540.10","570.00","568.50","562.75","615.65","384.50","57,911","3,25,89,272.15","4,333"
"30-Jul-2024","EQ","534.00","542.20","534.00","539.10","540.00","540.10","539.11","615.65","384.50","10,086","54,37,472.75","1,249"
"29-Jul-2024","EQ","541.90","550.35","532.05","539.05","533.00","539.10","542.60","615.65","384.50","16,768","90,98,368.50","2,121"
