"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","93.50","93.50","90.05","92.26","91.64","91.39","91.31","122.50","78.55","7,217","6,58,949.01","292"
"23-Aug-2024","EQ","90.06","92.78","89.51","90.06","92.50","92.26","90.92","122.50","78.55","23,386","21,26,179.26","403"
"22-Aug-2024","EQ","91.60","91.60","89.41","89.01","90.30","90.06","90.26","122.50","78.55","5,278","4,76,406.61","218"
"21-Aug-2024","EQ","90.91","92.00","88.50","90.84","88.65","89.01","90.60","122.50","78.55","25,274","22,89,851.69","332"
"20-Aug-2024","EQ","90.55","93.20","90.44","89.87","90.88","90.84","91.50","122.50","78.55","20,303","18,57,659.42","490"
"19-Aug-2024","EQ","92.00","92.28","89.12","90.92","90.25","89.87","90.54","122.50","78.55","10,012","9,06,514.73","558"
"16-Aug-2024","EQ","93.34","95.00","89.98","92.28","91.83","90.92","92.46","122.50","78.55","16,040","14,83,050.06","377"
"14-Aug-2024","EQ","95.00","95.00","92.25","93.21","92.25","92.28","93.44","122.50","78.55","18,240","17,04,321.77","997"
"13-Aug-2024","EQ","93.00","94.61","91.25","93.46","92.50","93.21","92.94","122.50","78.55","20,149","18,72,702.01","560"
"12-Aug-2024","EQ","92.70","95.78","90.20","91.77","93.00","93.46","94.24","122.50","78.55","49,728","46,86,540.33","576"
"09-Aug-2024","EQ","92.90","93.80","90.20","91.43","92.70","91.77","92.23","122.50","78.55","31,015","28,60,504.52","1,132"
"08-Aug-2024","EQ","91.80","93.00","86.64","89.82","92.00","91.43","91.25","122.50","78.55","46,844","42,74,307.08","1,840"
"07-Aug-2024","EQ","89.80","90.00","85.21","87.04","89.99","89.82","88.12","122.50","78.55","8,48,917","7,48,09,526.99","1,406"
"06-Aug-2024","EQ","83.97","89.35","83.97","83.29","87.25","87.04","87.14","122.50","78.55","25,320","22,06,343.19","1,143"
"05-Aug-2024","EQ","85.50","89.80","81.00","85.57","81.20","83.29","86.47","122.50","78.55","47,708","41,25,496.42","2,870"
"02-Aug-2024","EQ","88.50","88.50","83.00","87.73","85.30","85.57","86.35","122.50","78.55","27,321","23,59,072.18","890"
"01-Aug-2024","EQ","89.79","89.79","85.38","86.99","87.96","87.73","87.47","122.50","78.55","49,532","43,32,786.63","1,615"
"31-Jul-2024","EQ","89.90","90.50","86.90","87.78","87.55","86.99","87.67","122.50","78.55","15,863","13,90,674.17","758"
"30-Jul-2024","EQ","86.50","89.98","86.50","87.47","87.50","87.78","88.02","122.50","78.55","26,870","23,65,029.77","440"
"29-Jul-2024","EQ","91.69","91.69","87.00","89.86","88.00","87.47","88.29","122.50","78.55","26,459","23,36,093.23","1,111"
