"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","538.85","538.85","489.00","513.95","509.95","509.95","501.15","666.00","227.25","3,530","17,69,064.20","132"
"23-Aug-2024","BE","500.00","515.00","499.95","495.65","513.90","513.95","509.35","666.00","227.25","2,441","12,43,313.60","54"
"22-Aug-2024","BE","511.00","527.00","491.65","517.50","515.00","495.65","503.71","666.00","227.25","2,743","13,81,663.05","118"
"21-Aug-2024","BE","510.10","520.95","510.00","510.15","510.00","517.50","515.31","666.00","227.25","2,252","11,60,482.50","59"
"20-Aug-2024","BE","513.40","525.00","486.10","511.65","519.00","510.15","506.64","666.00","227.25","30,378","1,53,90,722.00","160"
"19-Aug-2024","BE","529.00","530.00","503.45","529.95","517.00","511.65","514.19","666.00","227.25","2,590","13,31,741.95","197"
"16-Aug-2024","BE","514.00","535.00","500.00","525.50","530.00","529.95","522.94","666.00","227.25","222","1,16,093.65","42"
"14-Aug-2024","BE","515.05","530.00","500.00","520.60","528.00","525.50","519.88","666.00","227.25","980","5,09,482.45","57"
"13-Aug-2024","EQ","548.00","550.00","517.95","527.10","534.00","520.60","527.33","666.00","227.25","3,951","20,83,482.85","292"
"12-Aug-2024","EQ","552.00","553.60","513.90","546.60","516.20","527.10","537.71","666.00","227.25","1,733","9,31,854.35","144"
"09-Aug-2024","EQ","555.00","593.00","534.05","542.75","550.00","546.60","550.51","666.00","227.25","3,901","21,47,522.65","322"
"08-Aug-2024","EQ","596.00","596.00","533.00","550.95","544.00","542.75","556.98","666.00","227.25","5,251","29,24,696.90","316"
"07-Aug-2024","EQ","544.80","552.80","534.00","526.55","552.00","550.95","546.33","666.00","227.25","4,139","22,61,263.70","137"
"06-Aug-2024","EQ","540.25","554.85","523.05","548.65","523.15","526.55","531.64","666.00","227.25","4,929","26,20,435.10","378"
"05-Aug-2024","EQ","588.95","588.95","545.00","567.85","545.00","548.65","557.02","666.00","227.25","4,377","24,38,088.80","442"
"02-Aug-2024","EQ","591.00","591.00","562.85","579.95","569.80","567.85","572.32","666.00","227.25","4,991","28,56,440.05","407"
"01-Aug-2024","EQ","609.80","609.80","571.50","585.85","574.00","579.95","584.09","666.00","227.25","2,946","17,20,736.45","421"
"31-Jul-2024","EQ","614.65","615.00","577.85","604.65","597.90","585.85","592.09","666.00","227.25","1,983","11,74,120.05","206"
"30-Jul-2024","EQ","590.00","609.35","588.90","580.35","604.00","604.65","601.95","666.00","227.25","14,125","85,02,555.95","317"
"29-Jul-2024","EQ","610.00","610.00","576.85","584.80","583.80","580.35","590.87","666.00","227.25","11,034","65,19,661.65","422"
