"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","338.85","339.15","328.95","336.90","332.00","331.15","332.17","535.80","275.00","63,931","2,12,35,655.90","3,986"
"23-Aug-2024","EQ","346.90","351.00","334.55","343.50","337.00","336.90","342.00","535.80","275.00","2,04,992","7,01,06,734.25","10,889"
"22-Aug-2024","EQ","346.05","352.20","341.50","345.00","344.25","343.50","346.90","535.80","275.00","1,46,629","5,08,65,623.90","6,295"
"21-Aug-2024","EQ","346.00","349.70","342.10","346.00","343.10","345.00","345.61","535.80","275.00","1,22,316","4,22,73,256.00","5,774"
"20-Aug-2024","EQ","333.05","349.80","330.90","331.10","347.70","346.00","341.84","535.80","275.00","3,65,833","12,50,56,378.55","16,552"
"19-Aug-2024","EQ","323.70","333.20","321.55","320.60","330.60","331.10","329.65","535.80","275.00","1,32,634","4,37,22,402.85","7,391"
"16-Aug-2024","EQ","315.10","325.00","315.05","319.05","325.00","320.60","320.32","535.80","275.00","1,03,778","3,32,41,908.05","7,648"
"14-Aug-2024","EQ","326.65","326.65","318.05","324.35","318.05","319.05","321.08","535.80","275.00","64,405","2,06,79,243.40","5,031"
"13-Aug-2024","EQ","329.95","336.00","322.95","323.70","323.05","324.35","329.28","535.80","275.00","2,34,449","7,72,00,468.90","12,125"
"12-Aug-2024","EQ","319.00","326.00","315.75","319.85","321.20","323.70","321.93","535.80","275.00","1,15,035","3,70,32,817.90","7,858"
"09-Aug-2024","EQ","322.15","324.65","318.25","322.10","319.75","319.85","321.63","535.80","275.00","46,820","1,50,58,806.30","3,429"
"08-Aug-2024","EQ","320.00","331.05","317.90","318.70","320.00","322.10","326.07","535.80","275.00","1,90,398","6,20,83,535.30","8,263"
"07-Aug-2024","EQ","314.00","322.75","309.35","309.10","320.00","318.70","314.42","535.80","275.00","63,576","1,99,89,516.15","6,308"
"06-Aug-2024","EQ","318.00","321.75","308.00","313.05","309.00","309.10","315.70","535.80","275.00","55,662","1,75,72,694.30","4,619"
"05-Aug-2024","EQ","325.00","325.00","310.30","327.15","312.45","313.05","316.70","535.80","275.00","1,17,892","3,73,35,947.90","9,001"
"02-Aug-2024","EQ","333.05","333.85","326.70","333.80","328.45","327.15","329.90","535.80","275.00","1,07,832","3,55,74,165.00","7,530"
"01-Aug-2024","EQ","347.10","347.75","333.05","344.35","333.30","333.80","338.08","535.80","275.00","1,21,040","4,09,21,693.15","7,439"
"31-Jul-2024","EQ","337.25","350.40","335.90","335.40","346.00","344.35","345.52","535.80","275.00","3,46,993","11,98,93,270.05","19,688"
"30-Jul-2024","EQ","334.75","338.90","332.15","332.80","337.70","335.40","335.55","535.80","275.00","99,385","3,33,48,774.20","5,417"
"29-Jul-2024","EQ","332.35","339.55","331.50","328.10","334.00","332.80","334.45","535.80","275.00","95,210","3,18,43,354.35","6,177"
