"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","1,120.00","1,139.90","1,100.00","1,085.65","1,139.90","1,139.90","1,122.88","1,156.65","312.70","95,688","10,74,46,433.15","2,073"
"23-Aug-2024","BE","1,075.00","1,134.00","1,060.00","1,113.80","1,091.00","1,085.65","1,092.47","1,156.65","300.50","1,67,305","18,27,74,954.90","2,609"
"22-Aug-2024","BE","1,149.90","1,156.65","1,076.75","1,101.60","1,127.00","1,113.80","1,138.46","1,156.65","300.50","1,77,937","20,25,73,914.80","2,541"
"21-Aug-2024","BE","1,098.00","1,101.60","1,040.00","1,049.15","1,101.60","1,101.60","1,096.84","1,101.60","300.50","33,244","3,64,63,191.60","639"
"20-Aug-2024","BE","1,015.00","1,049.15","1,014.00","999.20","1,049.15","1,049.15","1,036.07","1,049.15","300.50","67,658","7,00,98,631.25","1,430"
"19-Aug-2024","BE","954.00","999.20","954.00","951.65","999.20","999.20","990.06","1,032.00","300.50","52,095","5,15,77,408.30","954"
"16-Aug-2024","BE","985.00","985.00","943.10","967.05","960.00","951.65","965.42","1,032.00","294.00","18,978","1,83,21,796.70","725"
"14-Aug-2024","BE","952.00","985.00","930.00","949.35","985.00","967.05","964.98","1,032.00","294.00","25,306","2,44,19,707.90","1,047"
"13-Aug-2024","BE","1,010.15","1,010.15","930.00","962.05","940.00","949.35","980.70","1,032.00","294.00","41,343","4,05,45,239.70","2,013"
"12-Aug-2024","BE","950.00","962.05","933.30","916.25","962.05","962.05","960.71","1,032.00","294.00","20,184","1,93,90,999.15","336"
"09-Aug-2024","BE","896.00","916.25","872.65","872.65","916.25","916.25","903.58","1,032.00","294.00","18,359","1,65,88,862.25","499"
"08-Aug-2024","BE","899.70","918.00","855.60","899.70","878.00","872.65","893.56","1,032.00","294.00","87,190","7,79,09,115.65","1,863"
"07-Aug-2024","BE","915.50","939.00","865.10","910.60","900.00","899.70","894.63","1,032.00","294.00","86,876","7,77,22,204.70","2,397"
"06-Aug-2024","BE","984.90","993.90","910.60","958.50","910.60","910.60","948.14","1,032.00","294.00","51,889","4,91,97,985.35","1,599"
"05-Aug-2024","BE","967.00","1,032.00","958.50","1,008.95","958.50","958.50","986.43","1,032.00","294.00","1,05,987","10,45,49,233.90","2,249"
"02-Aug-2024","BE","964.00","1,018.00","941.00","971.95","1,010.00","1,008.95","990.38","1,018.00","294.00","1,50,454","14,90,06,949.85","2,602"
"01-Aug-2024","BE","965.90","979.40","950.00","932.80","979.40","971.95","975.52","979.40","294.00","3,26,975","31,89,70,499.05","2,185"
"31-Jul-2024","BE","929.00","932.80","900.05","888.40","932.80","932.80","926.87","932.80","294.00","1,68,845","15,64,96,960.80","1,581"
"30-Jul-2024","BE","890.85","899.05","869.95","858.25","890.00","888.40","884.52","899.05","294.00","66,493","5,88,14,099.00","1,837"
"29-Jul-2024","BE","875.90","880.00","851.00","851.75","874.00","858.25","870.56","880.00","294.00","42,781","3,72,43,265.30","857"
