"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","4,020.00","4,048.75","3,976.15","3,980.95","4,005.15","4,008.30","4,008.28","5,143.00","2,133.20","9,481","3,80,02,547.95","1,480"
"23-Aug-2024","EQ","4,025.00","4,025.00","3,950.00","4,000.25","3,979.95","3,980.95","3,989.09","5,143.00","2,133.20","6,034","2,40,70,164.50","1,529"
"22-Aug-2024","EQ","3,935.00","4,025.00","3,928.60","3,886.20","3,975.05","4,000.25","3,993.49","5,143.00","2,133.20","17,179","6,86,04,093.60","3,278"
"21-Aug-2024","EQ","4,041.95","4,068.40","3,803.60","4,000.45","3,890.00","3,886.20","3,923.42","5,143.00","2,133.20","27,593","10,82,59,043.85","5,319"
"20-Aug-2024","EQ","4,029.00","4,059.95","3,980.00","4,030.05","3,999.00","4,000.45","4,006.26","5,143.00","2,133.20","9,326","3,73,62,361.95","1,855"
"19-Aug-2024","EQ","4,150.30","4,244.10","3,995.05","4,131.60","4,034.00","4,030.05","4,091.24","5,143.00","2,133.20","8,978","3,67,31,187.55","2,242"
"16-Aug-2024","EQ","4,072.20","4,175.00","4,017.20","4,027.40","4,112.00","4,131.60","4,079.88","5,143.00","2,133.20","7,420","3,02,72,725.05","2,041"
"14-Aug-2024","EQ","4,150.00","4,150.00","3,978.05","4,057.80","4,030.00","4,027.40","4,015.03","5,143.00","2,133.20","9,295","3,73,19,689.10","2,352"
"13-Aug-2024","EQ","4,163.55","4,210.05","4,051.00","4,177.55","4,061.75","4,057.80","4,121.41","5,143.00","2,133.20","6,543","2,69,66,399.95","2,229"
"12-Aug-2024","EQ","4,157.00","4,225.00","4,145.75","4,202.60","4,161.15","4,177.55","4,183.82","5,143.00","2,133.20","10,739","4,49,30,087.80","3,018"
"09-Aug-2024","EQ","4,203.75","4,257.95","4,100.40","4,200.85","4,209.00","4,202.60","4,189.59","5,143.00","2,133.20","15,337","6,42,55,685.60","4,638"
"08-Aug-2024","EQ","3,995.15","4,300.00","3,980.00","3,971.85","4,185.00","4,200.85","4,173.30","5,143.00","2,133.20","50,112","20,91,32,592.05","12,113"
"07-Aug-2024","EQ","4,100.05","4,280.00","3,952.70","4,364.85","3,975.00","3,971.85","4,022.48","5,143.00","2,133.20","77,126","31,02,38,009.30","14,000"
"06-Aug-2024","EQ","4,200.00","4,420.00","4,200.00","4,190.60","4,322.25","4,364.85","4,336.69","5,143.00","2,133.20","13,976","6,06,09,530.50","3,823"
"05-Aug-2024","EQ","4,200.00","4,300.00","4,140.05","4,382.20","4,165.00","4,190.60","4,205.54","5,143.00","2,133.20","13,306","5,59,58,863.80","3,919"
"02-Aug-2024","EQ","4,420.05","4,488.85","4,362.05","4,489.90","4,382.00","4,382.20","4,406.08","5,143.00","2,133.20","7,832","3,45,08,456.20","2,525"
"01-Aug-2024","EQ","4,381.25","4,598.55","4,381.25","4,381.25","4,480.00","4,489.90","4,511.91","5,143.00","2,133.20","21,661","9,77,32,376.00","5,878"
"31-Jul-2024","EQ","4,334.70","4,465.00","4,334.70","4,334.75","4,409.00","4,381.25","4,395.14","5,143.00","2,133.20","6,466","2,84,19,002.70","2,108"
"30-Jul-2024","EQ","4,310.00","4,399.00","4,292.30","4,310.35","4,350.00","4,334.75","4,340.89","5,143.00","2,133.20","4,554","1,97,68,434.90","1,427"
"29-Jul-2024","EQ","4,230.00","4,330.00","4,230.00","4,230.60","4,323.00","4,310.35","4,295.25","5,143.00","2,133.20","4,395","1,88,77,608.20","1,242"
