"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","360.00","361.75","340.00","358.55","352.55","355.20","350.87","430.00","225.00","1,01,958","3,57,74,141.30","5,484"
"23-Aug-2024","EQ","363.00","367.15","355.00","357.05","355.00","358.55","359.79","430.00","225.00","43,311","1,55,82,969.70","2,829"
"22-Aug-2024","EQ","347.40","372.95","346.15","343.45","357.15","357.05","361.66","430.00","225.00","1,60,193","5,79,34,633.55","8,197"
"21-Aug-2024","EQ","339.95","345.00","339.25","339.15","344.00","343.45","342.16","430.00","225.00","39,545","1,35,30,597.90","2,171"
"20-Aug-2024","EQ","339.70","343.00","336.00","339.70","337.30","339.15","340.14","430.00","225.00","37,791","1,28,54,402.90","1,782"
"19-Aug-2024","EQ","332.35","345.70","332.30","332.35","339.70","339.70","340.18","430.00","225.00","39,923","1,35,81,083.40","2,604"
"16-Aug-2024","EQ","347.50","352.90","327.85","345.65","333.10","332.35","337.68","430.00","225.00","85,229","2,87,79,961.90","3,732"
"14-Aug-2024","EQ","370.05","388.80","343.00","393.10","343.00","345.65","352.53","430.00","225.00","2,01,482","7,10,27,533.15","10,926"
"13-Aug-2024","EQ","390.50","398.00","385.00","393.40","398.00","393.10","392.14","430.00","225.00","65,133","2,55,41,503.35","5,043"
"12-Aug-2024","EQ","390.30","402.80","387.95","396.90","394.50","393.40","395.16","430.00","225.00","81,107","3,20,50,614.35","4,851"
"09-Aug-2024","EQ","401.00","401.85","392.95","400.50","399.70","396.90","397.70","430.00","225.00","43,783","1,74,12,338.60","3,678"
"08-Aug-2024","EQ","396.00","407.85","395.00","398.85","397.45","400.50","402.65","430.00","225.00","51,808","2,08,60,350.15","4,565"
"07-Aug-2024","EQ","393.20","403.85","390.00","391.15","395.10","398.85","397.51","430.00","225.00","72,309","2,87,43,709.00","6,079"
"06-Aug-2024","EQ","390.25","412.05","388.00","395.60","392.10","391.15","399.34","430.00","225.00","86,447","3,45,21,314.40","7,759"
"05-Aug-2024","EQ","414.40","414.40","386.45","420.95","392.00","395.60","397.10","430.00","225.00","1,20,047","4,76,70,813.20","9,089"
"02-Aug-2024","EQ","414.90","425.00","398.95","415.50","418.30","420.95","417.12","430.00","225.00","1,18,565","4,94,56,108.20","8,143"
"01-Aug-2024","EQ","415.00","427.90","405.50","409.25","415.00","415.50","419.41","430.00","225.00","1,58,162","6,63,35,470.05","10,151"
"31-Jul-2024","EQ","418.00","423.25","404.25","410.15","410.00","409.25","412.69","430.00","225.00","86,218","3,55,80,985.95","6,156"
"30-Jul-2024","EQ","407.10","418.00","406.85","407.10","408.25","410.15","412.03","430.00","225.00","57,956","2,38,79,492.50","4,928"
"29-Jul-2024","EQ","406.85","419.65","401.95","408.95","405.70","407.10","412.67","430.00","225.00","1,05,606","4,35,80,674.60","6,906"
