"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","919.05","932.00","908.15","919.70","909.00","912.85","923.25","939.00","453.00","3,20,556","29,59,52,751.50","17,905"
"23-Aug-2024","EQ","910.00","922.70","901.10","912.05","916.00","919.70","913.62","939.00","453.00","2,41,792","22,09,05,287.15","12,463"
"22-Aug-2024","EQ","906.05","916.00","886.60","903.20","911.20","912.05","905.75","939.00","453.00","3,28,816","29,78,25,695.20","17,920"
"21-Aug-2024","EQ","898.20","939.00","891.15","889.30","909.25","903.20","919.30","939.00","453.00","23,01,998","2,11,62,36,495.05","77,341"
"20-Aug-2024","EQ","838.85","904.80","837.00","830.60","890.00","889.30","890.92","904.80","453.00","28,55,688","2,54,41,78,888.15","99,366"
"19-Aug-2024","EQ","833.00","836.00","811.35","819.80","836.00","830.60","829.24","880.00","453.00","3,41,622","28,32,87,153.10","7,629"
"16-Aug-2024","EQ","828.90","838.45","808.60","823.90","824.65","819.80","822.72","880.00","453.00","78,940","6,49,45,397.40","6,554"
"14-Aug-2024","EQ","839.05","850.90","819.30","835.90","828.00","823.90","828.34","880.00","453.00","1,08,212","8,96,36,219.00","8,714"
"13-Aug-2024","EQ","829.45","872.70","820.45","824.85","837.00","835.90","856.00","880.00","453.00","7,00,317","59,94,69,203.05","31,537"
"12-Aug-2024","EQ","829.35","842.20","822.20","829.35","826.00","824.85","831.40","880.00","453.00","1,10,480","9,18,53,410.50","10,938"
"09-Aug-2024","EQ","805.00","835.00","802.45","793.90","832.95","829.35","823.88","880.00","450.00","2,40,479","19,81,26,878.35","16,099"
"08-Aug-2024","EQ","810.60","819.05","790.35","811.35","795.50","793.90","798.04","880.00","450.00","1,30,757","10,43,49,824.50","13,196"
"07-Aug-2024","EQ","811.80","824.35","785.50","809.25","810.60","811.35","803.29","880.00","450.00","1,45,020","11,64,93,717.60","11,845"
"06-Aug-2024","EQ","793.75","853.55","793.75","794.75","806.00","809.25","831.10","880.00","450.00","7,21,372","59,95,34,730.00","57,854"
"05-Aug-2024","EQ","771.50","806.75","763.70","786.25","800.00","794.75","785.28","880.00","450.00","3,31,577","26,03,81,165.30","20,409"
"02-Aug-2024","EQ","785.00","795.00","781.95","793.40","786.10","786.25","788.18","880.00","437.25","57,993","4,57,08,752.35","5,835"
"01-Aug-2024","EQ","786.00","797.00","785.00","790.65","793.85","793.40","791.09","880.00","437.25","37,074","2,93,28,869.60","4,944"
"31-Jul-2024","EQ","796.20","802.95","788.40","788.95","789.50","790.65","793.93","880.00","437.25","61,763","4,90,35,230.10","6,725"
"30-Jul-2024","EQ","803.00","804.00","785.30","795.15","792.00","788.95","790.16","880.00","437.25","44,814","3,54,10,337.40","4,483"
"29-Jul-2024","EQ","803.00","803.00","775.00","794.00","790.15","795.15","788.54","880.00","437.25","1,26,499","9,97,49,383.25","9,328"
