"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","2.60","2.60","2.60","2.55","2.60","2.60","2.60","4.20","1.60","3,42,020","8,89,252.00","123"
"23-Aug-2024","BE","2.55","2.55","2.54","2.43","2.55","2.55","2.55","4.20","1.60","2,68,909","6,85,710.43","131"
"22-Aug-2024","BE","2.43","2.43","2.43","2.32","2.43","2.43","2.43","4.20","1.60","1,07,462","2,61,132.66","103"
"21-Aug-2024","BE","2.27","2.32","2.24","2.21","2.32","2.32","2.31","4.20","1.60","3,10,045","7,16,066.72","267"
"20-Aug-2024","BE","2.18","2.25","2.10","2.15","2.22","2.21","2.23","4.20","1.60","6,14,775","13,72,760.22","459"
"19-Aug-2024","BE","1.97","2.16","1.97","2.06","2.13","2.15","2.10","4.20","1.60","4,61,711","9,69,103.22","419"
"16-Aug-2024","BE","2.00","2.09","1.98","2.00","2.07","2.06","2.03","4.20","1.60","5,24,756","10,63,367.23","382"
"14-Aug-2024","BE","2.15","2.15","1.97","2.07","2.06","2.00","2.02","4.20","1.60","15,15,725","30,62,196.12","424"
"13-Aug-2024","BE","2.24","2.24","2.05","2.16","2.09","2.07","2.08","4.20","1.60","22,45,080","46,80,815.31","694"
"12-Aug-2024","BE","2.19","2.19","2.09","2.09","2.18","2.16","2.18","4.20","1.60","20,04,523","43,62,262.43","621"
"09-Aug-2024","BE","2.09","2.09","2.09","2.05","2.09","2.09","2.09","4.20","1.60","1,80,603","3,77,460.27","38"
"08-Aug-2024","BE","2.08","2.09","2.05","2.05","2.05","2.05","2.07","4.20","1.60","7,73,598","16,04,295.17","205"
"07-Aug-2024","BE","2.05","2.09","2.05","2.05","2.05","2.05","2.06","4.20","1.60","35,49,224","73,08,076.83","313"
"06-Aug-2024","BE","2.03","2.05","2.03","2.08","2.05","2.05","2.04","4.20","1.60","54,86,713","1,11,67,938.28","273"
"05-Aug-2024","BE","2.08","2.08","2.08","2.13","2.08","2.08","2.08","4.20","1.60","1,41,271","2,93,843.68","88"
"02-Aug-2024","BE","2.13","2.13","2.13","2.18","2.13","2.13","2.13","4.20","1.60","1,13,960","2,42,734.80","93"
"01-Aug-2024","BE","2.18","2.18","2.18","2.23","2.18","2.18","2.18","4.20","1.60","60,331","1,31,521.58","87"
"31-Jul-2024","BE","2.23","2.23","2.23","2.28","2.23","2.23","2.23","4.20","1.60","50,106","1,11,736.38","94"
"30-Jul-2024","BE","2.28","2.28","2.28","2.33","2.28","2.28","2.28","4.20","1.60","1,96,224","4,47,390.72","117"
"29-Jul-2024","BE","2.33","2.33","2.33","2.38","2.33","2.33","2.33","4.20","1.60","30,222","70,417.26","101"
