"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","541.90","565.00","539.35","537.40","558.50","557.20","558.17","609.00","390.30","1,30,498","7,28,40,240.35","8,705"
"23-Aug-2024","EQ","524.75","540.00","516.55","524.95","537.75","537.40","530.30","623.15","390.30","40,590","2,15,24,918.80","3,672"
"22-Aug-2024","EQ","518.00","533.00","514.55","517.60","524.00","524.95","524.83","623.15","390.30","46,220","2,42,57,833.25","5,190"
"21-Aug-2024","EQ","500.00","526.00","497.00","499.35","517.00","517.60","514.03","623.15","390.30","54,887","2,82,13,715.20","5,187"
"20-Aug-2024","EQ","496.00","505.10","493.05","495.55","499.00","499.35","496.89","623.15","390.30","57,862","2,87,51,174.15","4,023"
"19-Aug-2024","EQ","492.50","501.00","491.30","497.30","492.50","495.55","495.51","623.15","390.30","33,128","1,64,15,168.60","1,747"
"16-Aug-2024","EQ","495.00","501.00","491.25","494.30","492.45","497.30","495.35","623.15","390.30","41,896","2,07,53,347.80","4,110"
"14-Aug-2024","EQ","495.00","503.10","490.00","494.85","491.25","494.30","497.51","623.15","390.30","52,051","2,58,96,055.05","3,212"
"13-Aug-2024","EQ","510.90","526.50","484.10","502.65","496.25","494.85","502.10","623.15","390.30","98,660","4,95,37,342.30","5,167"
"12-Aug-2024","EQ","502.90","511.05","496.70","502.35","503.00","502.65","500.33","623.15","390.30","1,47,784","7,39,40,523.90","5,530"
"09-Aug-2024","EQ","507.50","510.80","497.00","504.40","500.20","502.35","501.12","623.15","390.30","37,345","1,87,14,198.95","2,533"
"08-Aug-2024","EQ","501.00","510.20","496.60","500.50","509.80","504.40","499.89","623.15","390.30","33,318","1,66,55,462.85","2,879"
"07-Aug-2024","EQ","494.10","508.35","492.50","494.10","501.00","500.50","500.13","623.15","390.30","63,927","3,19,71,928.00","8,286"
"06-Aug-2024","EQ","516.65","520.45","492.00","508.20","498.00","494.10","505.22","623.15","390.30","32,509","1,64,24,084.00","5,025"
"05-Aug-2024","EQ","517.25","524.60","495.25","523.70","509.00","508.20","507.86","623.15","390.30","45,613","2,31,65,179.95","5,021"
"02-Aug-2024","EQ","536.20","536.20","517.05","533.35","525.40","523.70","525.87","623.15","390.30","41,280","2,17,07,914.85","4,129"
"01-Aug-2024","EQ","555.00","557.50","527.70","550.20","534.05","533.35","544.65","623.15","390.30","39,502","2,15,14,769.80","4,787"
"31-Jul-2024","EQ","561.00","568.10","545.25","557.00","552.70","550.20","556.04","623.15","390.30","67,268","3,74,03,739.20","6,714"
"30-Jul-2024","EQ","540.85","562.00","537.05","540.85","555.80","557.00","548.17","623.15","390.30","50,064","2,74,43,361.45","4,830"
"29-Jul-2024","EQ","557.45","557.45","537.10","549.70","547.00","540.85","544.73","623.15","390.30","26,315","1,43,34,653.25","2,596"
