"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","46.00","48.00","46.00","46.50","46.80","47.20","47.16","59.70","28.60","4,40,492","2,07,74,580.30","856"
"23-Aug-2024","BE","45.50","47.00","45.50","45.67","46.74","46.50","46.53","59.70","28.60","2,74,764","1,27,85,826.08","820"
"22-Aug-2024","BE","45.05","46.80","45.05","45.96","46.00","45.67","46.02","59.70","28.60","2,39,610","1,10,27,888.46","666"
"21-Aug-2024","BE","45.50","46.99","45.03","45.57","46.00","45.96","45.98","59.70","28.60","2,65,083","1,21,89,524.00","567"
"20-Aug-2024","BE","46.00","46.50","45.00","46.43","45.90","45.57","45.45","59.70","28.60","93,862","42,65,642.58","297"
"19-Aug-2024","BE","45.50","46.80","45.50","44.73","46.50","46.43","46.39","59.70","28.60","2,19,267","1,01,71,522.17","638"
"16-Aug-2024","BE","42.50","44.73","42.50","42.60","44.73","44.73","44.18","59.70","28.60","76,684","33,87,946.48","230"
"14-Aug-2024","BE","44.40","44.40","42.00","44.21","42.50","42.60","43.11","59.70","28.60","1,48,442","63,99,564.08","455"
"13-Aug-2024","BE","45.80","46.38","43.51","45.80","43.51","44.21","44.78","59.70","28.60","2,26,971","1,01,62,935.17","582"
"12-Aug-2024","BE","45.70","47.00","43.85","46.07","45.90","45.80","46.20","59.70","28.60","2,20,118","1,01,69,494.15","719"
"09-Aug-2024","BE","44.00","46.07","43.50","43.88","46.07","46.07","45.55","59.70","28.60","4,46,049","2,03,19,457.53","620"
"08-Aug-2024","BE","43.85","44.49","43.47","44.25","44.24","43.88","43.93","59.70","28.60","1,00,128","43,98,171.20","309"
"07-Aug-2024","BE","43.86","45.19","43.00","43.86","44.50","44.25","44.26","59.70","28.60","1,50,450","66,58,285.40","519"
"06-Aug-2024","BE","43.43","45.88","43.40","43.70","43.41","43.86","44.65","59.70","28.60","2,07,709","92,74,938.20","532"
"05-Aug-2024","BE","43.55","44.60","42.37","44.60","43.85","43.70","43.68","59.70","28.60","2,66,409","1,16,35,780.36","529"
"02-Aug-2024","BE","45.20","46.20","44.12","45.70","44.25","44.60","45.01","59.70","28.60","1,06,719","48,03,812.66","399"
"01-Aug-2024","BE","45.92","46.69","45.52","45.92","46.00","45.70","46.16","59.70","28.60","1,18,497","54,69,241.35","308"
"31-Jul-2024","BE","46.84","46.84","45.55","46.29","46.00","45.92","46.04","59.70","28.60","2,63,558","1,21,33,738.79","531"
"30-Jul-2024","BE","47.75","47.75","46.02","46.25","46.03","46.29","46.69","59.70","28.60","1,19,523","55,80,840.14","463"
"29-Jul-2024","BE","47.10","48.40","46.00","46.69","46.00","46.25","46.78","59.70","28.60","1,81,312","84,81,954.61","627"
