"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","16.30","16.40","16.07","16.27","16.25","16.28","16.24","20.05","14.10","4,92,122","79,90,275.17","1,904"
"23-Aug-2024","EQ","16.43","16.55","16.10","16.32","16.25","16.27","16.33","20.05","14.10","8,00,152","1,30,69,222.11","3,018"
"22-Aug-2024","EQ","16.26","16.68","16.26","16.29","16.51","16.32","16.43","20.05","14.10","7,54,721","1,24,00,506.45","2,959"
"21-Aug-2024","EQ","16.42","16.49","16.22","16.33","16.36","16.29","16.34","20.05","14.10","6,93,039","1,13,22,613.17","2,791"
"20-Aug-2024","EQ","16.29","16.45","16.14","16.10","16.40","16.33","16.28","20.05","14.10","9,51,914","1,54,96,005.21","3,099"
"19-Aug-2024","EQ","16.15","16.39","15.95","15.97","16.08","16.10","16.18","20.05","14.10","9,06,173","1,46,57,406.41","2,437"
"16-Aug-2024","EQ","16.00","16.20","15.82","16.29","15.90","15.97","15.93","20.05","14.10","10,49,804","1,67,28,005.80","3,526"
"14-Aug-2024","EQ","16.30","16.40","15.80","16.18","16.35","16.29","16.06","20.05","14.10","10,20,942","1,63,99,592.83","3,986"
"13-Aug-2024","EQ","16.25","16.57","16.10","16.18","16.20","16.18","16.31","20.05","14.10","12,46,022","2,03,28,402.97","4,003"
"12-Aug-2024","EQ","16.17","16.40","15.96","16.08","16.16","16.18","16.20","20.05","14.10","8,43,493","1,36,63,497.47","3,528"
"09-Aug-2024","EQ","16.31","16.31","16.05","16.19","16.10","16.08","16.14","20.05","14.10","3,64,237","58,79,410.14","1,801"
"08-Aug-2024","EQ","16.11","16.36","16.11","16.20","16.20","16.19","16.25","20.05","14.10","4,46,244","72,52,419.12","1,702"
"07-Aug-2024","EQ","16.04","16.28","15.91","15.87","16.24","16.20","16.11","20.05","14.10","6,82,213","1,09,92,663.21","2,088"
"06-Aug-2024","EQ","16.10","16.40","15.85","16.09","15.95","15.87","16.11","20.05","14.10","9,47,310","1,52,57,390.52","3,880"
"05-Aug-2024","EQ","16.57","16.76","16.00","17.07","16.08","16.09","16.27","20.05","14.10","22,02,143","3,58,31,788.98","6,957"
"02-Aug-2024","EQ","17.20","17.39","16.87","17.12","17.10","17.07","17.14","20.05","14.10","12,81,272","2,19,61,380.11","4,051"
"01-Aug-2024","EQ","17.49","17.82","17.10","17.46","17.14","17.12","17.38","20.05","14.10","16,61,862","2,88,85,378.85","4,982"
"31-Jul-2024","EQ","16.80","17.61","16.70","16.65","17.49","17.46","17.35","20.05","14.10","46,80,852","8,11,94,500.09","9,535"
"30-Jul-2024","EQ","16.54","16.78","16.47","16.48","16.74","16.65","16.63","20.05","14.10","10,18,303","1,69,29,798.81","3,351"
"29-Jul-2024","EQ","16.49","16.83","16.41","16.37","16.70","16.48","16.57","20.05","14.10","11,17,088","1,85,13,242.64","3,591"
