"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","369.00","370.95","363.40","368.50","364.70","364.35","365.87","374.90","177.00","1,10,515","4,04,33,662.65","6,128"
"23-Aug-2024","EQ","365.00","371.85","363.95","363.90","368.70","368.50","367.36","374.90","177.00","1,12,690","4,13,97,698.75","6,666"
"22-Aug-2024","EQ","370.00","370.75","363.00","367.55","363.85","363.90","367.00","374.90","177.00","60,712","2,22,81,110.25","4,423"
"21-Aug-2024","EQ","363.85","369.50","362.25","362.10","368.00","367.55","366.43","374.90","177.00","1,25,137","4,58,53,644.25","6,728"
"20-Aug-2024","EQ","364.95","374.90","361.00","360.90","361.00","362.10","366.20","374.90","177.00","1,88,763","6,91,24,756.30","11,459"
"19-Aug-2024","EQ","363.50","364.70","357.25","360.65","360.00","360.90","360.42","368.10","177.00","67,393","2,42,89,896.60","4,777"
"16-Aug-2024","EQ","359.10","365.00","355.65","359.20","360.00","360.65","359.56","368.10","177.00","1,17,280","4,21,69,692.80","7,562"
"14-Aug-2024","EQ","368.00","368.10","356.85","358.15","359.00","359.20","362.59","368.10","177.00","2,52,789","9,16,59,994.05","13,517"
"13-Aug-2024","EQ","353.00","367.15","353.00","352.00","358.95","358.15","359.80","367.15","177.00","3,49,875","12,58,85,558.90","20,515"
"12-Aug-2024","EQ","346.00","355.20","331.30","346.80","354.50","352.00","344.63","355.20","177.00","6,51,481","22,45,16,862.20","25,614"
"09-Aug-2024","EQ","332.00","353.15","325.75","323.30","346.50","346.80","339.05","353.15","170.50","6,85,732","23,24,97,989.50","31,151"
"08-Aug-2024","EQ","321.00","328.00","318.80","318.55","324.55","323.30","323.17","337.15","170.50","2,12,358","6,86,28,564.45","12,009"
"07-Aug-2024","EQ","312.00","321.00","306.30","299.10","320.55","318.55","315.40","337.15","170.50","3,14,119","9,90,73,359.85","13,533"
"06-Aug-2024","EQ","297.95","306.00","296.95","292.95","298.10","299.10","300.50","337.15","170.50","92,171","2,76,97,656.45","7,712"
"05-Aug-2024","EQ","298.10","300.10","290.50","302.35","292.00","292.95","295.48","337.15","170.50","1,26,370","3,73,39,580.55","11,182"
"02-Aug-2024","EQ","302.05","309.50","300.20","310.35","303.00","302.35","305.14","337.15","167.10","56,097","1,71,17,585.55","5,847"
"01-Aug-2024","EQ","311.00","324.80","306.50","308.15","308.50","310.35","314.55","337.15","167.10","1,78,584","5,61,74,386.20","13,975"
"31-Jul-2024","EQ","309.20","311.30","303.75","307.55","306.90","308.15","307.35","337.15","167.10","48,411","1,48,79,285.20","5,590"
"30-Jul-2024","EQ","312.45","315.90","306.00","308.45","310.00","307.55","309.90","337.15","167.10","68,295","2,11,64,637.60","6,312"
"29-Jul-2024","EQ","311.00","318.25","304.20","309.20","309.25","308.45","309.13","337.15","167.10","1,04,928","3,24,36,386.75","8,027"
