"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","1,375.00","1,391.00","1,305.00","1,351.65","1,370.00","1,359.40","1,361.83","1,578.20","298.55","9,984","1,35,96,494.50","763"
"23-Aug-2024","BE","1,330.50","1,375.00","1,300.05","1,329.40","1,345.55","1,351.65","1,347.58","1,578.20","298.55","8,844","1,19,18,017.05","547"
"22-Aug-2024","BE","1,269.75","1,333.20","1,220.50","1,269.75","1,333.20","1,329.40","1,300.33","1,578.20","298.55","10,180","1,32,37,325.40","1,886"
"21-Aug-2024","BE","1,299.00","1,339.90","1,265.70","1,332.30","1,265.70","1,269.75","1,287.77","1,578.20","298.55","10,209","1,31,46,821.15","976"
"20-Aug-2024","BE","1,366.00","1,366.00","1,310.55","1,334.85","1,333.70","1,332.30","1,331.45","1,578.20","298.55","5,105","67,97,067.20","512"
"19-Aug-2024","BE","1,348.00","1,348.00","1,300.00","1,310.25","1,339.00","1,334.85","1,322.90","1,578.20","298.55","7,388","97,73,592.55","636"
"16-Aug-2024","BE","1,300.00","1,357.40","1,275.00","1,295.30","1,290.00","1,310.25","1,328.86","1,578.20","298.55","11,856","1,57,54,954.30","850"
"14-Aug-2024","BE","1,250.00","1,299.00","1,208.45","1,272.05","1,298.50","1,295.30","1,251.88","1,578.20","298.55","10,653","1,33,36,277.95","947"
"13-Aug-2024","BE","1,211.50","1,272.05","1,150.95","1,211.50","1,272.05","1,272.05","1,205.88","1,578.20","298.55","10,199","1,22,98,777.75","960"
"12-Aug-2024","BE","1,250.00","1,275.00","1,211.50","1,275.25","1,211.50","1,211.50","1,223.27","1,578.20","298.55","9,826","1,20,19,806.80","1,124"
"09-Aug-2024","BE","1,272.00","1,324.00","1,251.00","1,282.75","1,290.00","1,275.25","1,277.80","1,578.20","298.55","9,472","1,21,03,365.65","797"
"08-Aug-2024","BE","1,256.15","1,330.00","1,255.00","1,299.90","1,308.90","1,282.75","1,290.91","1,578.20","298.55","7,752","1,00,07,120.10","790"
"07-Aug-2024","EQ","1,310.00","1,349.90","1,230.00","1,336.10","1,275.00","1,299.90","1,291.85","1,578.20","298.55","46,644","6,02,57,121.85","6,055"
"06-Aug-2024","EQ","1,551.00","1,578.20","1,336.10","1,484.55","1,336.10","1,336.10","1,482.17","1,578.20","298.55","55,297","8,19,59,779.15","5,561"
"05-Aug-2024","EQ","1,380.00","1,534.00","1,261.05","1,395.30","1,470.00","1,484.55","1,456.64","1,534.00","298.55","1,13,791","16,57,52,545.75","9,674"
"02-Aug-2024","EQ","1,219.00","1,422.10","1,120.00","1,185.10","1,422.10","1,395.30","1,321.24","1,422.10","298.05","1,16,673","15,41,53,536.65","13,936"
"01-Aug-2024","EQ","1,112.45","1,218.00","1,081.00","1,071.60","1,170.00","1,185.10","1,151.53","1,218.00","298.05","57,444","6,61,48,622.85","9,963"
"31-Jul-2024","EQ","968.20","1,147.85","967.80","963.10","1,080.00","1,071.60","1,067.34","1,147.85","298.05","64,023","6,83,34,500.25","8,337"
"30-Jul-2024","EQ","979.80","979.80","936.05","958.90","960.00","963.10","962.60","981.35","298.05","12,833","1,23,53,010.15","2,220"
"29-Jul-2024","EQ","949.10","965.00","927.00","920.30","960.00","958.90","953.06","981.35","298.05","15,539","1,48,09,626.80","2,290"
