"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","729.90","734.80","722.60","726.10","730.35","729.25","728.17","735.00","314.90","5,26,694","38,35,21,715.85","15,255"
"23-Aug-2024","EQ","721.00","733.90","718.25","720.60","725.20","726.10","726.73","735.00","312.90","12,79,176","92,96,14,872.00","17,913"
"22-Aug-2024","EQ","720.00","731.00","716.20","719.55","720.00","720.60","725.12","735.00","312.90","8,69,655","63,06,02,817.00","18,745"
"21-Aug-2024","EQ","710.00","722.95","707.55","710.90","715.50","719.55","715.37","735.00","312.90","8,05,021","57,58,85,627.05","21,692"
"20-Aug-2024","EQ","719.00","735.00","700.05","717.85","711.15","710.90","715.48","735.00","312.90","13,22,085","94,59,30,839.50","30,486"
"19-Aug-2024","EQ","712.00","732.55","705.00","706.70","716.60","717.85","716.19","732.55","312.90","21,05,380","1,50,78,55,164.00","46,255"
"16-Aug-2024","EQ","665.00","711.00","665.00","660.90","710.00","706.70","698.01","711.00","310.00","46,95,996","3,27,78,43,929.10","60,423"
"14-Aug-2024","EQ","675.00","678.15","651.25","672.45","660.60","660.90","661.53","704.60","310.00","8,59,462","56,85,59,185.80","29,862"
"13-Aug-2024","EQ","696.95","704.60","670.00","696.80","671.05","672.45","690.01","704.60","310.00","15,81,373","1,09,11,57,858.50","42,474"
"12-Aug-2024","EQ","645.00","701.80","635.75","657.80","692.90","696.80","686.37","701.80","310.00","46,62,723","3,20,03,38,255.85","80,015"
"09-Aug-2024","EQ","654.95","665.00","642.65","647.30","653.70","657.80","654.49","678.50","310.00","8,21,721","53,78,10,297.15","22,800"
"08-Aug-2024","EQ","636.00","664.00","629.60","651.60","649.55","647.30","645.97","678.50","310.00","30,48,740","1,96,93,82,902.55","42,211"
"07-Aug-2024","EQ","648.00","656.55","636.75","632.85","652.00","651.60","651.66","678.50","310.00","16,83,957","1,09,73,63,891.45","23,564"
"06-Aug-2024","EQ","636.00","659.90","628.75","630.00","633.00","632.85","651.23","678.50","310.00","11,84,994","77,17,08,441.70","28,405"
"05-Aug-2024","EQ","636.50","636.50","600.60","652.50","631.05","630.00","623.40","678.50","310.00","18,62,402","1,16,10,15,169.55","52,699"
"02-Aug-2024","EQ","635.00","668.00","632.70","649.75","651.50","652.50","652.73","678.50","310.00","8,38,057","54,70,22,536.10","24,249"
"01-Aug-2024","EQ","644.00","654.15","636.30","640.70","647.10","649.75","644.86","678.50","310.00","10,76,254","69,40,36,340.70","30,024"
"31-Jul-2024","EQ","647.90","663.95","635.85","643.85","640.00","640.70","651.31","678.50","310.00","9,32,063","60,70,57,832.45","25,746"
"30-Jul-2024","EQ","648.00","652.00","641.65","644.65","646.00","643.85","644.71","678.50","310.00","3,10,831","20,03,95,036.25","13,613"
"29-Jul-2024","EQ","654.00","659.90","641.05","644.20","644.90","644.65","647.92","678.50","310.00","5,03,678","32,63,41,439.45","16,863"
