"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","38.00","38.49","37.20","37.85","37.31","37.53","37.71","49.40","23.10","5,888","2,22,029.00","186"
"23-Aug-2024","EQ","38.19","38.19","35.65","38.48","38.19","37.85","37.50","49.40","23.10","14,647","5,49,268.43","221"
"22-Aug-2024","EQ","39.00","39.88","38.01","38.34","38.19","38.48","38.86","49.40","23.10","17,768","6,90,401.62","207"
"21-Aug-2024","EQ","35.78","41.61","34.68","34.68","38.80","38.34","39.11","49.40","23.10","1,30,892","51,19,817.81","754"
"20-Aug-2024","EQ","34.00","35.23","33.81","34.42","34.95","34.68","34.58","49.40","23.10","3,105","1,07,372.57","243"
"19-Aug-2024","EQ","35.70","35.70","34.00","34.05","34.96","34.42","34.68","49.40","23.10","11,406","3,95,597.48","359"
"16-Aug-2024","EQ","34.00","35.40","33.50","34.60","33.76","34.05","34.35","49.40","23.10","11,032","3,78,909.12","522"
"14-Aug-2024","EQ","33.94","35.09","33.75","33.95","34.80","34.60","34.63","49.40","23.10","2,663","92,225.60","53"
"13-Aug-2024","EQ","36.00","36.00","33.70","34.88","33.70","33.95","34.37","49.40","23.10","10,133","3,48,293.41","549"
"12-Aug-2024","EQ","35.00","35.88","33.60","34.79","34.50","34.88","34.60","49.40","23.10","10,835","3,74,839.43","194"
"09-Aug-2024","EQ","35.59","35.75","34.40","35.64","34.70","34.79","35.05","49.40","23.10","12,418","4,35,283.10","270"
"08-Aug-2024","EQ","37.75","37.75","34.22","35.67","35.30","35.64","35.73","49.40","23.10","19,173","6,84,992.99","867"
"07-Aug-2024","EQ","33.87","36.58","33.87","34.76","35.93","35.67","35.30","49.40","23.10","15,245","5,38,215.45","424"
"06-Aug-2024","EQ","33.86","35.80","33.86","33.86","34.54","34.76","35.04","49.40","23.10","4,460","1,56,276.49","112"
"05-Aug-2024","EQ","33.75","36.99","33.15","35.97","34.65","33.86","34.44","49.40","23.10","18,039","6,21,273.28","591"
"02-Aug-2024","EQ","36.64","37.43","34.99","36.64","35.62","35.97","36.11","49.40","23.10","34,365","12,40,982.16","695"
"01-Aug-2024","EQ","37.39","37.49","36.40","36.61","36.75","36.64","36.87","49.40","23.10","16,625","6,13,001.60","431"
"31-Jul-2024","EQ","36.60","37.79","36.01","37.17","36.25","36.61","37.10","49.40","23.10","28,182","10,45,412.79","651"
"30-Jul-2024","EQ","37.85","37.85","35.99","36.85","37.03","37.17","37.05","49.40","23.10","15,223","5,63,939.90","525"
"29-Jul-2024","EQ","38.00","38.00","36.15","37.34","36.31","36.85","37.03","49.40","23.10","6,159","2,28,095.46","124"
