"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","820.00","847.00","813.10","814.35","846.00","843.80","831.06","899.85","311.60","52,346","4,35,02,900.25","7,313"
"23-Aug-2024","EQ","825.65","827.90","810.00","830.70","816.00","814.35","818.64","899.85","311.60","29,898","2,44,75,594.50","3,859"
"22-Aug-2024","EQ","825.20","835.60","818.30","824.00","827.50","830.70","827.37","899.85","311.60","22,040","1,82,35,314.05","4,117"
"21-Aug-2024","EQ","801.55","852.00","791.55","797.65","822.00","824.00","830.35","899.85","311.60","1,23,709","10,27,21,838.45","12,639"
"20-Aug-2024","EQ","819.25","819.25","786.55","809.65","798.00","797.65","798.77","899.85","311.60","73,809","5,89,56,554.10","6,820"
"19-Aug-2024","EQ","834.05","839.95","805.75","840.40","811.10","809.65","817.03","899.85","311.60","78,428","6,40,77,786.20","10,073"
"16-Aug-2024","EQ","850.00","852.00","820.20","832.50","840.00","840.40","834.02","899.85","311.60","91,625","7,64,17,400.20","10,652"
"14-Aug-2024","EQ","773.00","843.95","750.00","775.30","834.95","832.50","809.02","899.85","311.60","2,04,791","16,56,80,156.55","24,302"
"13-Aug-2024","EQ","899.85","899.85","707.00","880.90","774.20","775.30","785.23","899.85","311.60","4,43,589","34,83,17,285.55","33,009"
"12-Aug-2024","EQ","865.05","894.60","845.05","865.45","879.90","880.90","871.25","894.60","311.60","62,091","5,40,96,583.65","7,983"
"09-Aug-2024","EQ","861.80","871.00","841.00","858.75","857.50","865.45","858.26","887.85","306.20","55,350","4,75,04,680.00","7,558"
"08-Aug-2024","EQ","841.75","887.85","837.05","841.75","855.00","858.75","868.86","887.85","306.20","1,33,943","11,63,78,004.75","14,447"
"07-Aug-2024","EQ","818.00","857.30","797.00","799.65","843.85","841.75","835.63","857.30","306.20","1,14,298","9,55,10,750.85","14,724"
"06-Aug-2024","EQ","790.80","820.05","790.00","788.50","799.00","799.65","803.98","843.00","306.20","59,340","4,77,08,005.10","7,007"
"05-Aug-2024","EQ","790.05","817.75","768.00","812.85","784.25","788.50","793.78","843.00","306.20","92,974","7,38,01,149.70","11,664"
"02-Aug-2024","EQ","800.00","823.40","790.35","807.00","812.20","812.85","812.22","843.00","306.20","62,267","5,05,74,615.85","7,466"
"01-Aug-2024","EQ","826.55","843.00","799.70","826.55","810.00","807.00","820.04","843.00","306.20","65,573","5,37,72,720.75","7,744"
"31-Jul-2024","EQ","798.50","830.00","788.00","797.55","825.90","826.55","810.51","830.00","306.20","1,05,819","8,57,67,768.20","9,330"
"30-Jul-2024","EQ","788.00","809.00","780.00","769.35","793.00","797.55","795.63","809.00","306.20","1,75,586","13,97,02,274.45","12,754"
"29-Jul-2024","EQ","739.15","786.50","739.15","728.30","781.00","769.35","765.58","794.50","306.20","2,63,282","20,15,63,701.00","15,110"
