"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","200.80","208.49","196.22","198.57","208.49","208.49","205.30","208.49","63.80","5,19,129","10,65,77,871.78","4,726"
"23-Aug-2024","EQ","192.70","199.87","185.15","190.36","199.51","198.57","196.77","202.00","63.80","6,17,902","12,15,86,886.26","5,951"
"22-Aug-2024","EQ","195.00","202.00","188.15","193.65","190.00","190.36","193.48","202.00","63.80","4,07,138","7,87,74,799.34","5,780"
"21-Aug-2024","EQ","185.23","194.49","178.73","185.23","194.49","193.65","189.85","194.49","63.80","5,67,107","10,76,62,818.49","5,703"
"20-Aug-2024","EQ","177.39","186.25","176.59","177.39","186.20","185.23","184.32","188.65","63.80","5,48,818","10,11,56,251.65","5,491"
"19-Aug-2024","EQ","171.00","180.62","169.22","172.02","175.50","177.39","178.06","188.65","63.80","4,56,531","8,12,91,566.58","3,010"
"16-Aug-2024","EQ","171.00","177.18","171.00","170.11","172.00","172.02","172.90","188.65","63.80","1,58,627","2,74,27,313.34","2,109"
"14-Aug-2024","EQ","171.00","174.00","164.06","171.50","174.00","170.11","167.99","188.65","63.80","1,74,823","2,93,67,877.37","3,774"
"13-Aug-2024","EQ","186.35","188.65","171.11","180.12","171.11","171.50","177.94","188.65","63.80","4,70,373","8,36,96,711.86","4,762"
"12-Aug-2024","EQ","171.00","180.94","167.34","172.33","180.94","180.12","179.60","184.65","63.80","6,87,737","12,35,20,365.59","3,198"
"09-Aug-2024","EQ","164.50","172.33","164.50","164.13","172.33","172.33","169.66","184.65","63.80","1,36,282","2,31,20,999.71","2,206"
"08-Aug-2024","EQ","161.00","167.22","159.04","161.02","163.99","164.13","163.81","184.65","63.80","1,11,741","1,83,03,852.34","2,528"
"07-Aug-2024","EQ","159.00","161.02","158.24","153.36","161.02","161.02","160.37","184.65","63.80","78,293","1,25,55,506.45","661"
"06-Aug-2024","EQ","161.98","165.85","152.93","160.98","154.00","153.36","157.03","184.65","63.80","2,62,013","4,11,43,803.41","3,150"
"05-Aug-2024","EQ","164.05","166.80","160.98","169.46","160.98","160.98","162.44","184.65","63.80","79,497","1,29,13,315.74","1,286"
"02-Aug-2024","EQ","164.00","173.49","161.01","166.04","170.10","169.46","170.39","184.65","63.80","1,57,888","2,69,02,794.82","3,357"
"01-Aug-2024","EQ","166.61","174.00","164.50","169.30","166.95","166.04","167.19","184.65","63.80","1,05,672","1,76,67,049.24","2,092"
"31-Jul-2024","EQ","173.09","178.60","167.10","173.09","168.01","169.30","171.55","184.65","63.80","62,018","1,06,39,273.04","1,482"
"30-Jul-2024","EQ","171.99","177.00","170.41","169.16","174.79","173.09","173.67","184.65","63.80","1,53,391","2,66,39,286.65","2,383"
"29-Jul-2024","EQ","177.00","181.79","166.70","174.02","169.80","169.16","175.74","184.65","63.80","2,82,091","4,95,74,057.55","3,659"
