"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","BE","8.80","8.81","8.80","8.85","8.81","8.81","8.81","15.45","3.90","1,17,242","10,32,573.15","143"
"23-Aug-2024","BE","8.97","8.97","8.85","8.97","8.85","8.85","8.90","15.45","3.90","54,695","4,86,987.87","180"
"22-Aug-2024","BE","8.90","8.97","8.90","8.85","8.97","8.97","8.92","15.45","3.90","87,397","7,79,821.39","233"
"21-Aug-2024","BE","8.95","8.95","8.85","9.02","8.85","8.85","8.86","15.45","3.90","82,961","7,35,023.75","262"
"20-Aug-2024","BE","9.02","9.02","9.02","9.21","9.02","9.02","9.02","15.45","3.90","93,081","8,39,590.62","237"
"19-Aug-2024","BE","9.21","9.21","9.21","9.40","9.21","9.21","9.21","15.45","3.90","1,22,305","11,26,429.05","214"
"16-Aug-2024","BE","9.40","9.60","9.40","9.60","9.40","9.40","9.46","15.45","3.90","1,69,740","16,05,556.00","216"
"14-Aug-2024","BE","9.70","9.70","9.60","9.80","9.60","9.60","9.61","15.45","3.90","50,779","4,88,162.80","156"
"13-Aug-2024","BE","9.65","9.80","9.42","9.61","9.80","9.80","9.58","15.45","3.90","1,90,219","18,23,139.14","204"
"12-Aug-2024","BE","9.68","9.68","9.60","9.68","9.61","9.61","9.65","15.45","3.90","92,101","8,88,415.31","201"
"09-Aug-2024","BE","9.66","9.68","9.66","9.86","9.68","9.68","9.66","15.45","3.90","1,60,908","15,54,644.28","176"
"08-Aug-2024","BE","9.86","10.00","9.86","10.07","9.86","9.86","9.88","15.45","3.90","2,32,062","22,92,765.04","299"
"07-Aug-2024","BE","10.07","10.07","10.07","10.28","10.07","10.07","10.07","15.45","3.90","67,719","6,81,930.33","131"
"06-Aug-2024","BE","10.28","10.28","10.28","10.49","10.28","10.28","10.28","15.45","3.90","12,687","1,30,422.36","99"
"05-Aug-2024","BE","10.49","10.49","10.49","10.71","10.49","10.49","10.49","15.45","3.90","21,407","2,24,559.43","118"
"02-Aug-2024","BE","10.71","10.71","10.71","10.93","10.71","10.71","10.71","15.45","3.90","18,993","2,03,415.03","143"
"01-Aug-2024","BE","10.93","10.93","10.93","11.16","10.93","10.93","10.93","15.45","3.90","79,135","8,64,945.55","178"
"31-Jul-2024","BE","12.08","12.08","11.05","11.64","11.34","11.16","11.25","15.45","3.90","6,13,028","68,98,032.31","1,294"
"30-Jul-2024","BE","11.58","11.64","11.35","11.09","11.64","11.64","11.60","15.45","3.90","2,05,662","23,86,348.13","321"
"29-Jul-2024","BE","11.00","11.09","10.80","10.57","11.09","11.09","11.07","15.45","3.90","1,99,728","22,10,787.17","455"
