"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","783.55","796.00","768.00","775.80","771.90","772.95","778.70","839.50","456.30","4,31,973","33,63,75,604.90","18,856"
"23-Aug-2024","EQ","785.00","787.50","773.05","786.50","774.00","775.80","777.49","839.50","456.30","4,05,748","31,54,66,652.25","17,774"
"22-Aug-2024","EQ","813.50","824.80","781.30","800.55","786.80","786.50","805.30","839.50","456.30","13,64,423","1,09,87,64,104.85","47,119"
"21-Aug-2024","EQ","793.00","805.10","788.50","790.75","802.40","800.55","799.16","839.50","456.30","4,64,425","37,11,50,984.85","22,978"
"20-Aug-2024","EQ","790.00","811.60","783.00","782.55","792.00","790.75","798.61","839.50","456.30","9,61,249","76,76,60,094.55","29,846"
"19-Aug-2024","EQ","801.60","813.90","780.00","797.60","784.10","782.55","804.53","839.50","456.30","21,38,159","1,72,02,18,992.15","47,469"
"16-Aug-2024","EQ","747.00","805.00","747.00","740.35","800.00","797.60","791.40","839.50","456.30","43,44,166","3,43,79,70,742.25","1,16,304"
"14-Aug-2024","EQ","752.00","753.15","731.80","748.25","744.00","740.35","740.60","839.50","456.30","6,19,702","45,89,48,386.50","28,878"
"13-Aug-2024","EQ","766.95","766.95","744.15","767.15","747.00","748.25","756.80","839.50","456.30","5,01,864","37,98,11,024.60","35,730"
"12-Aug-2024","EQ","780.70","785.00","765.10","772.35","765.30","767.15","773.87","839.50","456.30","3,57,844","27,69,26,368.30","18,234"
"09-Aug-2024","EQ","761.00","777.85","757.55","753.05","772.00","772.35","768.54","839.50","456.30","4,29,951","33,04,34,218.60","25,944"
"08-Aug-2024","EQ","749.75","761.15","739.65","745.25","753.70","753.05","749.88","839.50","456.30","4,64,099","34,80,18,837.35","23,985"
"07-Aug-2024","EQ","746.05","752.95","732.55","734.65","746.80","745.25","743.12","839.50","456.30","3,49,119","25,94,37,101.15","19,883"
"06-Aug-2024","EQ","735.05","763.70","731.00","727.75","739.00","734.65","753.25","839.50","456.30","11,54,781","86,98,36,781.25","40,413"
"05-Aug-2024","EQ","739.75","752.15","722.75","762.40","729.95","727.75","735.42","839.50","456.30","6,40,236","47,08,40,316.25","39,043"
"02-Aug-2024","EQ","765.00","779.70","750.55","776.85","764.90","762.40","764.93","839.50","456.30","13,52,152","1,03,42,98,685.05","50,194"
"01-Aug-2024","EQ","797.90","812.00","775.00","793.35","782.00","776.85","796.59","839.50","456.30","10,95,180","87,24,14,902.15","42,915"
"31-Jul-2024","EQ","809.95","815.50","790.00","810.00","793.90","793.35","807.58","839.50","456.30","9,30,935","75,18,02,366.00","28,461"
"30-Jul-2024","EQ","810.00","812.65","799.15","812.70","811.00","810.00","807.29","839.50","456.30","5,08,483","41,04,93,939.65","27,201"
"29-Jul-2024","EQ","815.00","817.25","803.10","808.85","814.20","812.70","811.04","839.50","456.30","10,16,925","82,47,68,255.35","31,226"
