"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","15,459.20","15,657.00","15,315.05","15,459.20","15,550.00","15,599.75","15,546.14","18,250.00","12,700.00","20,849","32,41,21,502.10","8,852"
"23-Aug-2024","EQ","15,571.15","15,679.90","15,426.05","15,606.10","15,446.95","15,459.20","15,500.49","18,250.00","12,700.00","6,573","10,18,84,712.95","2,069"
"22-Aug-2024","EQ","15,651.00","15,734.30","15,512.00","15,643.00","15,545.90","15,606.10","15,598.57","18,250.00","12,700.00","2,640","4,11,80,225.55","1,539"
"21-Aug-2024","EQ","15,870.00","15,870.00","15,603.35","15,785.45","15,612.00","15,643.00","15,676.37","18,250.00","12,700.00","2,157","3,38,13,930.75","1,459"
"20-Aug-2024","EQ","15,962.00","15,962.00","15,470.00","15,962.55","15,701.00","15,785.45","15,659.44","18,250.00","12,700.00","13,133","20,56,55,449.60","5,641"
"19-Aug-2024","EQ","15,838.50","16,136.90","15,625.00","15,694.10","15,827.00","15,962.55","15,934.06","18,250.00","12,700.00","10,358","16,50,45,043.00","5,890"
"16-Aug-2024","EQ","15,785.00","16,000.05","15,432.00","15,549.70","16,000.00","15,694.10","15,625.32","18,250.00","12,700.00","8,268","12,91,90,108.75","5,119"
"14-Aug-2024","EQ","15,375.00","16,016.00","15,050.20","15,359.80","15,999.90","15,549.70","15,363.42","18,250.00","12,700.00","7,174","11,02,17,160.15","3,712"
"13-Aug-2024","EQ","15,412.20","15,450.00","15,211.00","15,493.85","15,325.00","15,359.80","15,361.16","18,250.00","12,700.00","10,637","16,33,96,633.50","6,528"
"12-Aug-2024","EQ","15,370.00","15,578.55","15,111.15","15,424.20","15,450.00","15,493.85","15,378.34","18,250.00","12,700.00","4,794","7,37,23,784.80","2,736"
"09-Aug-2024","EQ","15,458.05","15,560.90","15,369.30","15,445.45","15,400.00","15,424.20","15,495.57","18,250.00","12,700.00","26,315","40,77,65,967.65","1,948"
"08-Aug-2024","EQ","15,723.10","15,814.95","15,350.00","15,727.35","15,360.00","15,445.45","15,528.32","18,250.00","12,700.00","3,906","6,06,53,611.70","1,981"
"07-Aug-2024","EQ","16,001.00","16,084.15","15,657.45","15,954.55","15,727.35","15,727.35","15,745.70","18,250.00","12,700.00","21,164","33,32,41,986.55","2,236"
"06-Aug-2024","EQ","15,800.05","16,252.95","15,800.05","15,886.30","16,050.00","15,954.55","16,023.27","18,250.00","12,700.00","6,228","9,97,92,935.55","3,220"
"05-Aug-2024","EQ","16,000.25","16,000.25","15,600.00","16,294.25","15,879.90","15,886.30","15,818.32","18,250.00","12,700.00","6,977","11,03,64,436.00","3,568"
"02-Aug-2024","EQ","15,722.00","16,359.80","15,619.00","15,826.70","16,250.00","16,294.25","16,126.78","18,250.00","12,364.30","13,368","21,55,82,805.05","5,308"
"01-Aug-2024","EQ","15,875.85","16,024.75","15,731.05","15,832.40","15,845.00","15,826.70","15,867.51","18,250.00","12,364.30","7,426","11,78,32,138.15","2,439"
"31-Jul-2024","EQ","15,850.00","15,922.25","15,720.00","15,967.00","15,781.00","15,832.40","15,816.33","18,250.00","12,364.30","5,438","8,60,09,186.80","2,566"
"30-Jul-2024","EQ","15,985.00","16,124.30","15,820.00","15,846.00","15,820.10","15,967.00","15,988.20","18,250.00","12,364.30","6,093","9,74,16,102.85","3,431"
"29-Jul-2024","EQ","15,650.00","16,268.00","15,630.70","15,630.70","15,850.00","15,846.00","16,039.84","18,250.00","12,364.30","10,166","16,30,61,029.55","4,367"
