"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"26-Aug-2024","EQ","116.40","119.68","113.00","115.45","113.27","113.58","115.11","134.45","89.50","2,29,612","2,64,31,775.97","3,669"
"23-Aug-2024","EQ","118.55","118.69","115.10","117.61","115.63","115.45","116.67","134.45","89.50","1,44,634","1,68,74,683.89","4,000"
"22-Aug-2024","EQ","117.00","122.00","116.01","116.09","117.45","117.61","119.25","134.45","89.50","8,45,328","10,08,08,715.13","17,592"
"21-Aug-2024","EQ","108.71","116.50","108.71","109.68","116.00","116.09","113.95","134.45","89.50","4,29,831","4,89,77,271.34","7,801"
"20-Aug-2024","EQ","108.75","110.50","108.60","108.81","109.98","109.68","109.42","134.45","89.50","52,985","57,97,426.34","1,796"
"19-Aug-2024","EQ","108.91","110.86","107.01","107.84","108.70","108.81","108.93","134.45","89.50","89,200","97,16,125.31","2,958"
"16-Aug-2024","EQ","110.98","110.98","107.44","109.66","107.96","107.84","108.84","134.45","89.50","1,55,203","1,68,91,941.38","1,775"
"14-Aug-2024","EQ","110.45","110.55","107.61","109.38","109.50","109.66","109.62","134.45","89.50","1,19,653","1,31,16,411.82","3,191"
"13-Aug-2024","EQ","108.34","111.33","106.52","106.97","110.00","109.38","109.73","134.45","89.50","1,97,656","2,16,88,456.17","3,631"
"12-Aug-2024","EQ","109.10","110.20","106.62","108.35","107.00","106.97","107.84","134.45","89.50","1,15,587","1,24,65,105.16","2,354"
"09-Aug-2024","EQ","112.51","112.51","107.01","111.16","109.00","108.35","109.02","141.45","89.50","1,16,223","1,26,70,574.21","2,740"
"08-Aug-2024","EQ","113.50","113.50","110.98","113.87","111.10","111.16","112.02","141.45","89.50","52,447","58,74,982.52","1,983"
"07-Aug-2024","EQ","109.00","114.50","107.69","106.50","114.00","113.87","111.98","141.45","89.50","3,16,296","3,54,17,598.56","5,523"
"06-Aug-2024","EQ","112.19","112.42","105.00","109.49","106.37","106.50","109.19","141.45","89.50","1,71,885","1,87,67,485.80","3,560"
"05-Aug-2024","EQ","110.50","114.54","107.00","113.83","109.00","109.49","110.57","141.45","89.50","4,13,642","4,57,37,892.15","8,362"
"02-Aug-2024","EQ","112.11","114.43","111.71","114.51","114.00","113.83","113.47","152.70","89.50","94,770","1,07,53,549.46","2,975"
"01-Aug-2024","EQ","116.50","117.19","112.11","115.82","115.40","114.51","114.68","152.70","89.50","1,19,561","1,37,10,771.39","3,938"
"31-Jul-2024","EQ","116.00","117.70","111.15","115.22","116.00","115.82","115.90","152.70","89.50","1,77,788","2,06,04,969.10","3,766"
"30-Jul-2024","EQ","115.05","116.59","112.97","115.80","115.01","115.22","114.65","152.70","89.50","1,20,160","1,37,75,857.13","3,594"
"29-Jul-2024","EQ","114.41","117.45","111.98","113.28","115.50","115.80","115.25","152.70","89.50","2,66,151","3,06,74,453.55","5,482"
